university_applications
22
8
9
8
4
1
3
11
1
10
7
3
9
11
13
1
9
9
8
3
1
1
3
12
8
1
11
3
12
5
2
17
10
1
17
11
12
1
1
2
5
11
4
10
8
3
7
18
8
11
4
1
2
1
6
3
1
11
3
1
9
7
7
1
2
8
7
5
4
23
16
1
12
10
12
1
1
1
8
15
2
4
1
3
9
13
5
2
6
15
1
5
1
14
2
3
1
4
16
20
2
1
3
5
5
17
14
1
9
3
3
13
7
13
15
6
9
1
1
14
6
3
16
9
5
2
3
11
8
3
11
4
3
4
3
13
1
10
11
11
12
2
4
11
11
4
5
10
1
10
1
12
