"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"82","tt0067835","Sun Jan 15 18:12:52 2012","Sun Jan 15 18:12:52 2012","","A Tattered Web","TV Movie","Paul Wendkos","5.6","74","1971","crime, drama, mystery","140","1971-09-24","http://www.imdb.com/title/tt0067835/"
"83","tt0058659","Sun Jan 15 18:13:07 2012","Sun Jan 15 18:13:07 2012","","The Time Travelers","Feature Film","Ib Melchior","6.0","82","1964","sci_fi","859","1964-10-29","http://www.imdb.com/title/tt0058659/"
"84","tt0070828","Sun Jan 15 18:13:30 2012","Sun Jan 15 18:13:30 2012","","Trapped","TV Movie","Frank DeFelitta","7.1","90","1973","action, drama","214","1973-11-14","http://www.imdb.com/title/tt0070828/"
"85","tt0073820","Sun Jan 15 18:13:51 2012","Sun Jan 15 18:13:51 2012","","Trilogy of Terror","TV Movie","Dan Curtis","6.8","72","1975","horror, thriller","3557","1975-03-04","http://www.imdb.com/title/tt0073820/"
"86","tt0217142","Sun Jan 15 18:14:06 2012","Sun Jan 15 18:14:06 2012","","A Warning to the Curious","TV Movie","","7.5","50","1972","drama, horror","595","1972-12-24","http://www.imdb.com/title/tt0217142/"
"87","tt0087480","Sun Jan 15 18:14:20 2012","Sun Jan 15 18:14:20 2012","","Invitation to Hell","TV Movie","Wes Craven","4.9","96","1984","horror, sci_fi, thriller","818","1984-05-24","http://www.imdb.com/title/tt0087480/"
"88","tt0067977","Sun Jan 15 18:14:32 2012","Sun Jan 15 18:14:32 2012","","When Michael Calls","TV Movie","Philip Leacock","6.2","73","1972","horror, thriller","419","1972-02-05","http://www.imdb.com/title/tt0067977/"
"89","tt0072400","Sun Jan 15 18:14:50 2012","Sun Jan 15 18:14:50 2012","","Where Have All the People Gone","TV Movie","John Llewellyn Moxey","6.5","74","1974","sci_fi","702","1974-10-08","http://www.imdb.com/title/tt0072400/"
"90","tt0069510","Sun Jan 15 18:15:31 2012","Sun Jan 15 18:15:31 2012","","The Woman Hunter","TV Movie","Bernard L. Kowalski","4.8","74","1972","mystery","139","1972-09-19","http://www.imdb.com/title/tt0069510/"
"91","tt0068390","Sun Jan 15 18:15:56 2012","Sun Jan 15 18:15:56 2012","","A Cold Night's Death","TV Movie","Jerrold Freedman","7.2","74","1973","horror, sci_fi, thriller","441","1973-01-30","http://www.imdb.com/title/tt0068390/"
"92","tt0059083","Sun Jan 15 18:16:06 2012","Sun Jan 15 18:16:06 2012","","Dark Intruder","Feature Film","Harvey Hart","6.5","59","1965","horror, mystery","140","1965-07-21","http://www.imdb.com/title/tt0059083/"
"93","tt0067811","Sun Jan 15 18:16:21 2012","Sun Jan 15 18:16:21 2012","","Sweet, Sweet Rachel","TV Movie","Sutton Roley","6.8","71","1971","horror, thriller","97","1971-10-02","http://www.imdb.com/title/tt0067811/"
"94","tt0083192","Sun Jan 15 18:16:34 2012","Sun Jan 15 18:16:34 2012","","This House Possessed","TV Movie","William Wiard","6.0","96","1981","horror, thriller","266","1981-02-06","http://www.imdb.com/title/tt0083192/"
"95","tt0083772","Sun Jan 15 18:17:34 2012","Sun Jan 15 18:17:34 2012","","Cry for the Strangers","TV Movie","Peter Medak","5.1","97","1982","mystery, thriller","175","1982-02-11","http://www.imdb.com/title/tt0083772/"
"96","tt0067490","Sun Jan 15 18:19:24 2012","Sun Jan 15 18:19:24 2012","","The Night Stalker","TV Movie","John Llewellyn Moxey","7.8","74","1972","horror, mystery","3379","1972-01-11","http://www.imdb.com/title/tt0067490/"
"97","tt0069002","Sun Jan 15 18:19:38 2012","Sun Jan 15 18:19:38 2012","","The Night Strangler","TV Movie","Dan Curtis","7.6","74","1973","crime, horror, mystery, thriller","1556","1973-01-16","http://www.imdb.com/title/tt0069002/"
"98","tt0059837","Sun Jan 15 18:22:42 2012","Sun Jan 15 18:22:42 2012","","Two on a Guillotine","Feature Film","William Conrad","6.1","107","1965","mystery, horror","566","1965-01-13","http://www.imdb.com/title/tt0059837/"
"99","tt0070152","Sun Jan 15 18:22:55 2012","Fri Feb  3 15:58:29 2012","Run Stranger Run","Happy Mother's Day, Love George","Feature Film","Darren McGavin","5.9","90","1973","mystery","101","1973-08-17","http://www.imdb.com/title/tt0070152/"
"100","tt0062309","Sun Jan 15 18:23:07 2012","Sun Jan 15 18:23:07 2012","","Stranger on the Run","TV Movie","Donald Siegel","6.6","97","1967","drama, thriller, western","254","1967-10-31","http://www.imdb.com/title/tt0062309/"
"101","tt0082487","Sun Jan 15 18:23:49 2012","Sun Jan 15 18:23:49 2012","","A Gun in the House","TV Movie","Ivan Nagy","5.8","100","1981","drama","79","1981-02-11","http://www.imdb.com/title/tt0082487/"
"102","tt0122722","Sun Jan 15 18:24:04 2012","Sun Jan 15 18:24:04 2012","","So Sad About Gloria","Feature Film","Harry Thomason","5.5","90","1975","horror, thriller","60","1975-10","http://www.imdb.com/title/tt0122722/"
"103","tt0075900","Sun Jan 15 18:24:27 2012","Sun Jan 15 18:24:27 2012","","Curse of the Black Widow","TV Movie","Dan Curtis","6.2","100","1977","crime, horror, mystery, sci_fi","278","1977-09-16","http://www.imdb.com/title/tt0075900/"
"104","tt0065857","Sun Jan 15 18:24:44 2012","Sun Jan 15 18:24:44 2012","","House on Greenapple Road","TV Movie","Robert Day","7.0","120","1970","crime, drama","147","1970-01-11","http://www.imdb.com/title/tt0065857/"
"105","tt0066179","Sun Jan 15 18:25:25 2012","Sun Jan 15 18:25:25 2012","","The Old Man Who Cried Wolf","TV Movie","Walter Grauman","6.8","73","1970","thriller","115","1970-10-13","http://www.imdb.com/title/tt0066179/"
"106","tt0067240","Sun Jan 15 18:25:38 2012","Sun Jan 15 18:25:38 2012","","In Broad Daylight","TV Movie","Robert Day","7.5","75","1971","crime, drama","60","1971-10-16","http://www.imdb.com/title/tt0067240/"
"107","tt0066972","Sun Jan 15 18:27:15 2012","Sun Jan 15 18:27:15 2012","","The Deadly Dream","TV Movie","Alf Kjellin","7.3","73","1971","drama, thriller","125","1971-09-25","http://www.imdb.com/title/tt0066972/"
