"position","const","created","modified","description","Title","Title type","Directors","ForPeopleNotSheeple rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"300","tt0912587","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","","Hear and Now","Documentary","Irene Taylor Brodsky","","7.9","85","2007","documentary","296","2007-01-20","http://www.imdb.com/title/tt0912587/"
"301","tt1039988","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","Yoda quotes: ""Fear is the path to the dark side. Fear leads to anger. Anger leads to hate. Hate leads to suffering.""

""Hmm. In the end, cowards are those who follow the dark side.""

""Death is a natural part of life. Rejoice for those around you who transform into the force. Mourn them not. Miss them not. Attachment leads to jealousy. The shadow of greed, that is.""

""May the Force be with you.""","Star Wars: The Legacy Revealed","Documentary","Kevin Burns","","7.9","155","2007","documentary","424","2007-05-28","http://www.imdb.com/title/tt1039988/"
"302","tt0878134","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","Pearl Fryar quote: ""I hope kids will see this movie and realize you can make something of yourself through hard work.""","A Man Named Pearl","Documentary","Scott Galloway, Brent Pierson","","7.9","78","2006","documentary","268","2006-10-20","http://www.imdb.com/title/tt0878134/"
"303","tt0828154","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","Slavoj Zizek quote: ""I secretly think reality exists so we can speculate about it.""","The Pervert's Guide to Cinema","Documentary","Sophie Fiennes","","7.9","150","2006","documentary","4406","2006-06-17","http://www.imdb.com/title/tt0828154/"
"304","tt0799976","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","Jimmy Mirikitani's motto: ""Make art not war.""

Jimmy Mirikitani quote: ""I grew up in Hiroshima. Beautiful! Forty-seven kids my school. Only seven left. All war die. Everything ashes. Just like moon.""

Linda Hattendorf quote: ""I want people to feel history. Not just think about these issues intellectually in terms of statistics and dates, but to really feel their context with the heart - to understand emotionally the lingering trauma of war and discrimination, and also the healing power of community and art.""","The Cats of Mirikitani","Documentary","Linda Hattendorf","","8.3","74","2006","documentary","678","2006-04-26","http://www.imdb.com/title/tt0799976/"
"305","tt0492499","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","Ralph Nader quotes: ""The function of leadership is to produce more leaders, not more followers.""

""A leader has the vision and conviction that a dream can be achieved. He inspires the power and energy to get it done.""","An Unreasonable Man","Documentary","Henriette Mantel, Steve Skrovan","","7.9","122","2006","documentary, biography","1542","2006-01-24","http://www.imdb.com/title/tt0492499/"
"306","tt0760307","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","","Before the Music Dies","Documentary","Andrew Shapter","","7.7","95","2006","documentary, music","420","2006-03-12","http://www.imdb.com/title/tt0760307/"
"307","tt0827507","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","Helen Jonas-Rosenzweig recalls Monika Hertwig: ""It's hard for me to be with her because she reminds me a lot of, you know...she's tall, she has certain features. And I hated him so. But she is a victim. And I think it's important because she is willing to tell the story in Germany. She told me people don't want to know, they want to go on with their lives. And I think it's very important because there's a lot of children of perpetrators, and I think she's a brave person to go on talking about it, because it's difficult. And I feel for Monika. I am a mother, I have children. And she is affected by the fact that her father was a perpetrator. But my children are also affected by it. And that's why we both came here. The world has to know, to prevent something like this happening again.""","Inheritance","Documentary","James Moll","","7.5","75","2006","documentary","424","2006-06-25","http://www.imdb.com/title/tt0827507/"
"308","tt0800219","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","Bette Davis quote: ""I am doomed to an eternity of compulsive work. No set goal achieved satisfies. Success only breeds a new goal. The golden apple devoured has seeds. It is endless.""","Stardust: The Bette Davis Story","Documentary","Peter Jones, Mark Catalena","","8.7","88","2006","documentary, biography","437","2006-05-03","http://www.imdb.com/title/tt0800219/"
"309","tt0498366","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","","The Life of Reilly","Documentary","Frank L. Anderson, Barry Poltermann","","8.2","84","2006","documentary, biography, comedy","284","2006-03-12","http://www.imdb.com/title/tt0498366/"
"310","tt0906743","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","James Dean quote: ""Dream as if you'll live forever. Live as if you'll die today.""

""William Wordsworth quote: ""That though the radiance which was once so bright be now forever taken from my sight. Though nothing can bring back the hour of splendor in the grass, glory in the flower. We will grieve not, rather find strength in what remains behind.""","Forever","Documentary","Heddy Honigmann","","7.8","97","2006","documentary","275","2006-10-05","http://www.imdb.com/title/tt0906743/"
"311","tt0932519","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","","Crude Impact","Documentary","James Jandak Wood","","7.6","97","2006","documentary, history","234","2006-11-12","http://www.imdb.com/title/tt0932519/"
"312","tt0829118","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","Opening quote: ""Living is an art to be learned.""","Buddha's Lost Children","Documentary","Mark Verkerk","","7.9","97","2006","documentary","341","2006-09-07","http://www.imdb.com/title/tt0829118/"
"313","tt0814275","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","M. Scott Peck quote: ""There can be no vulnerability without risk; there can be no community without vulnerability; there can be no peace, and ultimately no life, without community.""","The Power of Community: How Cuba Survived Peak Oil","Documentary","Faith Morgan","","8.0","53","2006","documentary","215","2006-05-14","http://www.imdb.com/title/tt0814275/"
"314","tt0925259","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","","The Monastery: Mr. Vig and the Nun","Documentary","Pernille Rose Grønkjær","","7.7","84","2006","documentary","399","2006-11-26","http://www.imdb.com/title/tt0925259/"
"315","tt0492472","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","Julia Reichert quote: ""The widespread belief among nurses - who spend much more time with kids than doctors do - is that children do understand when their life is about to end. They're not afraid of it, but they're afraid of disappointing their parents, of making their parents cry. They'll confide in a nurse, 'I know I'm going to die. I know I'm going to go to heaven. But don't tell my mommy, she'll get upset.'""","A Lion in the House","Documentary","Steven Bognar, Julia Reichert","","8.9","225","2006","documentary","176","2006-01-20","http://www.imdb.com/title/tt0492472/"
"316","tt0950758","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","Godfrey Reggio quotes: ""I think it's naive to pray for world peace if we're not going to change the form in which we live.""

""It is very easy to make clear what you want a film to say, but I did not wish to engage in overt propaganda, even for the right cause. I wanted to create an experience through the films, something where people could have the freedom of their own response to them.""

""Mystery is gone to the certainty of technological principles. So the real terror, the real aggression against life comes in the form of the pursuit of our technological happiness.""

""So to hope to be able to have peace, to be able to have justice and environmental balance, are consequences of our behavior, not just our intentions.""","The Planet","Documentary","Michael Stenberg, Johan Söderberg","","8.0","82","2006","documentary","265","2006-09-01","http://www.imdb.com/title/tt0950758/"
"317","tt0449570","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","","Buddha Wild: Monk in a Hut","Documentary","Anna Wilding","","8.2","90","2006","documentary, adventure, comedy, drama, fantasy","140","2006-03-10","http://www.imdb.com/title/tt0449570/"
"318","tt0473434","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","","49 Up","Documentary","Michael Apted, Paul Almond","","8.2","180","2005","documentary, biography","2056","2005-09-15","http://www.imdb.com/title/tt0473434/"
"319","tt0493155","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","Mantak Chia quote: ""There are so many wizards of the computer, stock market, test tube, and spectator sport, but so few of the art of life.""

Ram Dass quote: ""It is important to expect nothing, to take every experience, including the negative ones, as merely steps on the path, and to proceed.""

Deepak Chopra quote: ""If you and I are having a single thought of violence or hatred against anyone in the world at this moment, we are contributing to the wounding of the world.""","One: The Movie","Documentary","Ward Powers","","7.5","79","2005","documentary, war","150","2005-05-13","http://www.imdb.com/title/tt0493155/"
"320","tt0441001","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","""My name is Basilio Vargas. I am 14-years old...I've been working here for 4 years...and working below is dangerous because an accident can happen.""

Bernardino Vargas (Age:12): ""I don't want to die in the mines. I want to survive...until I am big.""

Vanessa Vargas (Age:6): ""I live on the Cerro Rico with my mom...I guard the mine so nothing is stolen.""

Manuela Altica Vargas (Age:37): ""My dream is that they continue to study and never return to the mines.""

Saturnino (Age:42): ""Under the earth we must believe in Satan...the Devil. So our belief is split into two worlds.""

The Priest: ""In the end they have believed in the Tio...but their lives are destroyed.""

Tio-The Devil: ""Never stop believing in the Tio. He eats the miner. He kills him and then eats his soul.""","The Devil's Miner","Documentary","Kief Davidson, Richard Ladkani","","7.6","82","2005","documentary","481","2005-01-26","http://www.imdb.com/title/tt0441001/"
"321","tt0444608","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","Erik H. Erikson quote: ""Children love and want to be loved and they very much prefer the joy of accomplishment to the triumph of hateful failure. Do not mistake a child for his symptom.""","The Boys of Baraka","Documentary","Heidi Ewing, Rachel Grady","","7.6","84","2005","documentary","716","2005-10-15","http://www.imdb.com/title/tt0444608/"
"322","tt0473506","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","Quote from 'There Are Men Too Gentle to Live Among Wolves' - by James Kavanaugh:

""I am one of the searchers. There are, I believe, millions of us. We are not unhappy, but neither are we really content. We continue to explore life, hoping to uncover it's ultimate secret. We continue to explore ourselves, hoping to understand. We like to walk along the beach, we are drawn by the ocean, taken by it's power, it's unceasing motion, it's mystery and unspeakable beauty. We like forests and mountains, deserts and hidden rivers, and the lonely cities as well. Our sadness is as much a part of our lives as is our laughter. To share our sadness with one we love is perhaps as great a joy as we can know - unless it be to share our laughter.
We searchers are ambitious only for life itself, for everything beautiful it can provide. Most of all we love and want to be loved. We want to live in a relationship that will not impede our wandering, nor prevent our search, nor lock us in prison walls; that will take us for what little we have to give. We do not want to prove ourselves to another or compete for love. 
For wanderers, dreamers, and lovers, for lonely men and women who dare to ask of life everything good and beautiful. It is for those who are too gentle to live among wolves.""","Living with Wolves","Documentary","","","8.7","95","2005","documentary","281","2005-05-08","http://www.imdb.com/title/tt0473506/"
"323","tt0468528","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","George McGovern quotes: ""No man should advocate a course in private that he's ashamed to admit in public.""

""The highest patriotism is not a blind acceptance of official policy, but a love of one's country deep enough to call her to a higher plain.""","One Bright Shining Moment","Documentary","Stephen Vittoria","","7.8","123","2005","documentary","214","2005-09-16","http://www.imdb.com/title/tt0468528/"
"324","tt0493175","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","","Vinicius","Documentary","Miguel Faria Jr.","","7.9","121","2005","documentary, biography, music","350","2005-09-15","http://www.imdb.com/title/tt0493175/"
"325","tt0451698","Sun Apr 21 14:34:19 2013","Sun Apr 21 14:34:19 2013","Jeff Bingaman quote: ""I support concrete and progressive immigration reform based on three primary criteria: family reunification, economic contributions, and humanitarian concerns.""","No One","Documentary","Tin Dirdamal","","7.8","80","2005","documentary","143","2005-03-11","http://www.imdb.com/title/tt0451698/"
