"position","const","created","modified","description","Title","Title type","Directors","ForPeopleNotSheeple rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt1613092","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Happy","Documentary","Roko Belic","","7.2","76","2011","documentary, drama, family","2077","2011","http://www.imdb.com/title/tt1613092/"
"2","tt1223236","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","African Cats","Documentary","Alastair Fothergill, Keith Scholey","","7.6","89","2011","documentary, adventure","4995","2011-04-21","http://www.imdb.com/title/tt1223236/"
"3","tt0912583","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","For the Bible Tells Me So","Documentary","Daniel Karslake","","7.9","95","2007","documentary","3931","2007-01-21","http://www.imdb.com/title/tt0912583/"
"4","tt2125666","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","The Queen of Versailles","Documentary","Lauren Greenfield","","7.1","100","2012","documentary","10341","2012-01-19","http://www.imdb.com/title/tt2125666/"
"5","tt2125423","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Five Broken Cameras","Documentary","Emad Burnat, Guy Davidi","","8.0","94","2011","documentary","4751","2011-11-23","http://www.imdb.com/title/tt2125423/"
"6","tt2088919","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","The Atomic States of America","Documentary","Don Argott, Sheena M. Joyce","","6.3","95","2012","documentary, history, news","245","2012-01-23","http://www.imdb.com/title/tt2088919/"
"7","tt2125653","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","The House I Live In","Documentary","Eugene Jarecki","","7.9","108","2012","documentary","4367","2012-01-21","http://www.imdb.com/title/tt2125653/"
"8","tt2093109","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Escape Fire: The Fight to Rescue American Healthcare","Documentary","Susan Froemke, Matthew Heineman","","7.2","95","2012","documentary, news","410","2012-01-20","http://www.imdb.com/title/tt2093109/"
"9","tt1736049","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","A Place at the Table","Documentary","Kristi Jacobson, Lori Silverbush","","6.9","84","2012","documentary","920","2012-01-22","http://www.imdb.com/title/tt1736049/"
"10","tt2124998","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","We're Not Broke","Documentary","Victoria Bruce, Karin Hayes","","7.3","81","2012","documentary","419","2012-01-22","http://www.imdb.com/title/tt2124998/"
"11","tt1746180","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Incident in New Baghdad","Documentary","James Spione","","6.7","22","2011","documentary, biography, war","61","2011-04-24","http://www.imdb.com/title/tt1746180/"
"12","tt1743720","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","The Greatest Movie Ever Sold","Documentary","Morgan Spurlock","","6.6","90","2011","documentary, comedy","12996","2011-01-22","http://www.imdb.com/title/tt1743720/"
"13","tt0361596","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Fahrenheit 9/11","Documentary","Michael Moore","8","7.5","122","2004","documentary, comedy, drama, war","110613","2004-05-17","http://www.imdb.com/title/tt0361596/"
"14","tt2129930","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Booker's Place: A Mississippi Story","Documentary","Raymond De Felitta","","7.9","90","2012","documentary, history, mystery, news","110","2012-04-22","http://www.imdb.com/title/tt2129930/"
"15","tt2072045","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Are All Men Pedophiles?","Documentary","Jan-Willem Breure","","6.4","70","2013","documentary","1624","2013-03-01","http://www.imdb.com/title/tt2072045/"
"16","tt1682181","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Bully","Documentary","Lee Hirsch","","7.4","98","2011","documentary","8689","2011-04-23","http://www.imdb.com/title/tt1682181/"
"17","tt1433813","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Hubble 3D","Documentary","Toni Myers","","7.8","44","2010","documentary","3307","2010-03-19","http://www.imdb.com/title/tt1433813/"
"18","tt1860355","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Undefeated","Documentary","Daniel Lindsay, T.J. Martin","","7.8","113","2011","documentary, sport","5557","2011-03-13","http://www.imdb.com/title/tt1860355/"
"19","tt0436078","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","The Aristocrats","Documentary","Paul Provenza","","6.4","89","2005","documentary, comedy","14939","2005-01","http://www.imdb.com/title/tt0436078/"
"20","tt0396102","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Little Sister's vs. Big Brother","Documentary","Aerlyn Weissman","","6.6","71","2002","documentary","15","2002-08-08","http://www.imdb.com/title/tt0396102/"
"21","tt0896952","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","My Enemy's Enemy","Documentary","Kevin Macdonald","","7.4","87","2007","documentary","474","2007-08-31","http://www.imdb.com/title/tt0896952/"
"22","tt0263338","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Fighter","Documentary","Amir Bar-Lev","","7.4","91","2000","documentary","208","2000-04","http://www.imdb.com/title/tt0263338/"
"23","tt0191182","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Hitler, a Career","Documentary","Joachim C. Fest, Christian Herrendoerfer","","7.7","150","1977","documentary","396","1977-07-08","http://www.imdb.com/title/tt0191182/"
"24","tt0243872","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","The Third Reich, in Color","Documentary","Michael Kloft","","8.4","105","1998","documentary, war","194","1998","http://www.imdb.com/title/tt0243872/"
"25","tt0420975","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Truth & Conviction","Documentary","Matt Whitaker","","9.1","60","2002","documentary","48","2002-11-10","http://www.imdb.com/title/tt0420975/"
"26","tt0396959","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Chernobyl Heart","Documentary","Maryann DeLeo","","8.0","39","2003","documentary","596","2003-08-22","http://www.imdb.com/title/tt0396959/"
"27","tt0084118","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","If You Love This Planet","Documentary","Terri Nash","","7.4","26","1982","documentary","100","1982-10","http://www.imdb.com/title/tt0084118/"
"28","tt0326306","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","The Trials of Henry Kissinger","Documentary","Eugene Jarecki","","7.7","80","2002","documentary","1668","2002-06-14","http://www.imdb.com/title/tt0326306/"
"29","tt1312203","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","102 Minutes That Changed America","Documentary","Nicole Rittenmeyer, Seth Skundrick","","8.3","98","2008","documentary, history","1513","2008-09-11","http://www.imdb.com/title/tt1312203/"
"30","tt0265871","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","This Is What Democracy Looks Like","Documentary","Jill Friedberg, Rick Rowley","","7.8","72","2000","documentary","322","2000-10-13","http://www.imdb.com/title/tt0265871/"
"31","tt0817498","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","The Cult of the Suicide Bomber","Documentary","David Batty, Kevin Toolis","","7.4","96","2005","documentary","139","2005-08","http://www.imdb.com/title/tt0817498/"
"32","tt0774118","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Root of All Evil?","Documentary","Russell Barnes","","8.4","90","2006","documentary","2856","2006-01-09","http://www.imdb.com/title/tt0774118/"
"33","tt0426409","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","BattleGround: 21 Days on the Empire's Edge","Documentary","Stephen Marshall","","7.9","82","2004","documentary","123","2004-10-14","http://www.imdb.com/title/tt0426409/"
"34","tt0912585","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Ghosts of Abu Ghraib","Documentary","Rory Kennedy","","8.0","78","2007","documentary, history, war","764","2007-01-19","http://www.imdb.com/title/tt0912585/"
"35","tt1068634","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Body of War","Documentary","Phil Donahue, Ellen Spiro","","7.9","87","2007","documentary, war","511","2007-09-11","http://www.imdb.com/title/tt1068634/"
"36","tt0808532","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Hacking Democracy","Documentary","Simon Ardizzone, Russell Michaels","","7.9","82","2006","documentary","1087","2006-11-02","http://www.imdb.com/title/tt0808532/"
"37","tt1294790","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","The End of America","Documentary","Ricki Stern, Anne Sundberg","","7.5","","2008","documentary","739","2008-10","http://www.imdb.com/title/tt1294790/"
"38","tt0412631","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Death in Gaza","Documentary","James Miller","","8.2","80","2004","documentary","1076","2004-02-11","http://www.imdb.com/title/tt0412631/"
"39","tt0324451","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Violence: An American Tradition","Documentary","","","8.1","","1995","documentary","20","1995-11-21","http://www.imdb.com/title/tt0324451/"
"40","tt0368745","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Girlhood","Documentary","Liz Garbus","","7.3","82","2003","documentary, crime","403","2003-10-31","http://www.imdb.com/title/tt0368745/"
"41","tt0364930","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Aileen: Life and Death of a Serial Killer","Documentary","Nick Broomfield, Joan Churchill","7","7.2","93","2003","documentary, crime","4117","2003-05-10","http://www.imdb.com/title/tt0364930/"
"42","tt0281181","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Serial Killers","Documentary","Nick Bougas","","7.5","90","1994","documentary, biography, crime","81","1994","http://www.imdb.com/title/tt0281181/"
"43","tt1827439","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Iconoclast","Documentary","Larry Wessel","","7.4","233","2010","documentary, music","158","2010-08-17","http://www.imdb.com/title/tt1827439/"
"44","tt0333330","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","The Diary of Jack the Ripper: Beyond Reasonable Doubt?","Documentary","Martin Howells, Chris Short","","7.3","79","1993","documentary","52","1993","http://www.imdb.com/title/tt0333330/"
"45","tt1260704","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Confessions of an Innocent Man","Documentary","David Paperny","","7.7","90","2007","documentary, biography","95","2007-11-03","http://www.imdb.com/title/tt1260704/"
"46","tt0239894","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Paradise Lost 2: Revelations","Documentary","Joe Berlinger, Bruce Sinofsky","","7.7","130","2000","documentary","4927","2000-07-28","http://www.imdb.com/title/tt0239894/"
"47","tt0388644","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","The Staircase","Mini-Series","Jean-Xavier de Lestrade","","8.5","360","2004","documentary, crime","2281","2004-06","http://www.imdb.com/title/tt0388644/"
"48","tt0446055","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","The Trials of Darryl Hunt","Documentary","Ricki Stern, Anne Sundberg","","7.7","106","2006","documentary, crime","723","2006-01","http://www.imdb.com/title/tt0446055/"
"49","tt0790808","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Forbidden Lie$","Documentary","Anna Broinowski","","7.9","104","2007","documentary, drama","515","2007-02-25","http://www.imdb.com/title/tt0790808/"
"50","tt1524095","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Bhutto","Documentary","Duane Baughman, Johnny O'Hara","","7.8","111","2010","documentary, biography","541","2010-01-21","http://www.imdb.com/title/tt1524095/"
"51","tt0758440","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Welcome to Warren","Documentary","Brent E. Huffman","","9.6","30","2004","documentary, crime","154","2004-06-06","http://www.imdb.com/title/tt0758440/"
"52","tt0270211","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Attica","Documentary","Cinda Firestone","","8.2","80","1974","documentary, crime, history","33","1974-04","http://www.imdb.com/title/tt0270211/"
"53","tt0343129","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Unchained Memories: Readings from the Slave Narratives","Documentary","Ed Bell, Thomas Lennon","","8.2","75","2003","documentary","187","2003-01","http://www.imdb.com/title/tt0343129/"
"54","tt0484384","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","The Color of Fear","Documentary","","","8.1","90","1994","documentary","156","1994-04-30","http://www.imdb.com/title/tt0484384/"
"55","tt0307072","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","The Ku Klux Klan: A Secret History","Documentary","Bill Brummel","","7.6","89","1998","documentary, biography, crime, history","148","1998","http://www.imdb.com/title/tt0307072/"
"56","tt0808482","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Stephen Fry: The Secret Life of the Manic Depressive","Documentary","Ross Wilson","","8.2","120","2006","documentary","914","2006-09-19","http://www.imdb.com/title/tt0808482/"
"57","tt0400647","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Social Genocide","Documentary","Fernando E. Solanas","","8.0","120","2004","documentary","803","2004-03-12","http://www.imdb.com/title/tt0400647/"
"58","tt1337599","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Consuming Kids: The Commercialization of Childhood","Documentary","Adriana Barbaro, Jeremy Earp","","8.0","66","2008","documentary","476","2008-10-29","http://www.imdb.com/title/tt1337599/"
"59","tt0264476","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Children Underground","Documentary","Edet Belzberg","","8.3","104","2001","documentary","1857","2001-01-16","http://www.imdb.com/title/tt0264476/"
"60","tt0489342","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Which Way Home","Documentary","Rebecca Cammisa","","7.9","90","2009","documentary","911","2009-01-31","http://www.imdb.com/title/tt0489342/"
"61","tt1138006","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","I Am Because We Are","Documentary","Nathan Rissman","","8.3","90","2008","documentary","324","2008-04-24","http://www.imdb.com/title/tt1138006/"
"62","tt0892425","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Before Flying Back to Earth","Documentary","Arunas Matelis","","8.8","52","2005","documentary","1048","2005-10-10","http://www.imdb.com/title/tt0892425/"
"63","tt0391857","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Checkpoint","Documentary","Yoav Shamir","","8.0","80","2003","documentary","573","2003-11-23","http://www.imdb.com/title/tt0391857/"
"64","tt1699705","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Tears of Gaza","Documentary","Vibeke Løkkeberg","","7.9","90","2010","documentary, war","438","2010-09","http://www.imdb.com/title/tt1699705/"
"65","tt0097099","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Common Threads: Stories from the Quilt","Documentary","Rob Epstein, Jeffrey Friedman","","8.1","79","1990","documentary, biography, history","493","1990-10-26","http://www.imdb.com/title/tt0097099/"
"66","tt0939669","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","The Third Wave","Documentary","Alison Thompson","","8.4","94","2007","documentary, adventure, drama","248","2007-04-29","http://www.imdb.com/title/tt0939669/"
"67","tt1606829","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","The Other Dream Team","Documentary","Marius Markevicius","","8.4","89","2012","documentary, sport","3044","2012-01-21","http://www.imdb.com/title/tt1606829/"
"68","tt0926347","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","We Are Together (Thina Simunye)","Documentary","Paul Taylor","","8.0","83","2006","documentary, music","194","2006-11-26","http://www.imdb.com/title/tt0926347/"
"69","tt0103767","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Baraka","Documentary","Ron Fricke","","8.6","96","1992","documentary","26752","1992-09-15","http://www.imdb.com/title/tt0103767/"
"70","tt1137439","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Blue Gold: World Water Wars","Documentary","Sam Bozzo","","7.8","90","2008","documentary","978","2008-10-07","http://www.imdb.com/title/tt1137439/"
"71","tt0057318","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Mondo cane","Documentary","Paolo Cavara, Gualtiero Jacopetti","","6.4","108","1962","documentary","2517","1962-03-30","http://www.imdb.com/title/tt0057318/"
"72","tt0058365","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Mondo pazzo","Documentary","Gualtiero Jacopetti, Franco Prosperi","","5.9","102","1963","documentary","586","1963-11-30","http://www.imdb.com/title/tt0058365/"
"73","tt1202579","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Under Our Skin","Documentary","Andy Abrahams Wilson","","8.3","104","2008","documentary","847","2008-04","http://www.imdb.com/title/tt1202579/"
"74","tt1200060","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","The English Surgeon","Documentary","Geoffrey Smith","","8.2","94","2007","documentary","555","2007-10-31","http://www.imdb.com/title/tt1200060/"
"75","tt0430897","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Autopsy: Confessions of a Medical Examiner","Documentary","Arthur Ginsberg","","8.3","51","1994","crime, documentary","167","1994","http://www.imdb.com/title/tt0430897/"
"76","tt0430898","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Autopsy 2: Voices from the Dead","Documentary","Arthur Ginsberg","","8.3","","1995","crime, documentary","107","1995","http://www.imdb.com/title/tt0430898/"
"77","tt0776794","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","A Crude Awakening: The Oil Crash","Documentary","Basil Gelpke, Raymond McCormack","8","7.9","84","2006","documentary, war","1788","2006-03","http://www.imdb.com/title/tt0776794/"
"78","tt1285158","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Blind Spot","Documentary","Adolfo Doring","","8.0","86","2008","documentary","140","2008-04-15","http://www.imdb.com/title/tt1285158/"
"79","tt1326204","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Crude","Documentary","Joe Berlinger","","7.5","105","2009","documentary","734","2009-01-18","http://www.imdb.com/title/tt1326204/"
"80","tt0097564","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Isle of Flowers","Documentary","Jorge Furtado","","8.5","13","1989","documentary","4066","1989","http://www.imdb.com/title/tt0097564/"
"81","tt0074605","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Harlan County U.S.A.","Documentary","Barbara Kopple","","8.3","103","1976","documentary","3469","1976-10-15","http://www.imdb.com/title/tt0074605/"
"82","tt1092058","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","The Enemies of Reason","Documentary","Russell Barnes","","8.4","90","2007","documentary","1392","2007-08-13","http://www.imdb.com/title/tt1092058/"
"83","tt0432232","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","The Century of the Self","Mini-Series","","","9.0","240","2002","documentary","2699","2002-03-17","http://www.imdb.com/title/tt0432232/"
"84","tt1337446","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","The Anatomy of Hate","Documentary","Mike Ramsdell","","7.2","86","2009","documentary","111","2009-04-21","http://www.imdb.com/title/tt1337446/"
"85","tt2130321","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","West of Memphis","Documentary","Amy Berg","","7.9","147","2012","documentary","6910","2012-01-21","http://www.imdb.com/title/tt2130321/"
"86","tt1684897","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Killing in the Name","Documentary","Jed Rothstein","","7.1","39","2010","documentary","68","2010-08","http://www.imdb.com/title/tt1684897/"
"87","tt1505384","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Poster Girl","Documentary","Sara Nesson","","6.9","38","2010","documentary, biography, war","283","2010","http://www.imdb.com/title/tt1505384/"
"88","tt1754549","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Strangers No More","Documentary","Karen Goodman, Kirk Simon","","7.5","40","2010","documentary","163","2010-09-24","http://www.imdb.com/title/tt1754549/"
"89","tt1621975","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Sun Come Up","Documentary","Jennifer Redfearn","","7.1","38","2011","documentary, adventure, news","55","2011-04-03","http://www.imdb.com/title/tt1621975/"
"90","tt1744887","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","The Warriors of Qiugang","Documentary","Ruby Yang","","7.4","39","2010","documentary","133","2010-09-17","http://www.imdb.com/title/tt1744887/"
"91","tt2040281","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Beauty Is Embarrassing","Documentary","Neil Berkeley","","7.5","88","2012","documentary, biography, comedy","880","2012-03-10","http://www.imdb.com/title/tt2040281/"
"92","tt0192952","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","AFI's 100 Years... 100 Movies: America's Greatest Movies","Documentary","Gary Smith, Dann Netter","","7.1","138","1998","documentary","579","1998-06-16","http://www.imdb.com/title/tt0192952/"
"93","tt2071620","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","The Flat","Documentary","Arnon Goldfinger","","6.9","97","2011","documentary","1259","2011-07-11","http://www.imdb.com/title/tt2071620/"
"94","tt2048877","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","The Ambassador","Documentary","Mads Brügger","","7.3","93","2011","documentary","3050","2011-10-05","http://www.imdb.com/title/tt2048877/"
"95","tt2125490","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Detropia","Documentary","Heidi Ewing, Rachel Grady","","6.6","90","2012","documentary","1261","2012-01-21","http://www.imdb.com/title/tt2125490/"
"96","tt1486616","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Craigslist Joe","Documentary","Joseph Garner","","6.8","90","2012","documentary, adventure","3414","2012-08-02","http://www.imdb.com/title/tt1486616/"
"97","tt1595061","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Unraveled","Documentary","Marc H. Simon","","6.0","84","2011","documentary","341","2011-05-02","http://www.imdb.com/title/tt1595061/"
"98","tt1863406","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","The City Dark","Documentary","Ian Cheney","","7.1","83","2011","documentary, news","269","2011-03","http://www.imdb.com/title/tt1863406/"
"99","tt2258233","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","$ellebrity","Documentary","Kevin Mazur","","5.4","89","2012","documentary","956","2012-03-11","http://www.imdb.com/title/tt2258233/"
"100","tt1232206","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Teenage Paparazzo","Documentary","Adrian Grenier","","7.4","94","2010","documentary","1935","2010-01-22","http://www.imdb.com/title/tt1232206/"
"101","tt1655078","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","Into the Universe with Stephen Hawking","TV Series","","7","8.7","","2010","documentary","3743","2010-04-25","http://www.imdb.com/title/tt1655078/"
"102","tt0214382","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","Walking with Dinosaurs","TV Series","","","8.6","180","1999","documentary, animation, history","3664","1999-10-04","http://www.imdb.com/title/tt0214382/"
"103","tt0075520","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","Jesus of Nazareth","Mini-Series","","","8.6","382","1977","biography, drama, history","11774","1977-03-27","http://www.imdb.com/title/tt0075520/"
"104","tt2571774","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","Africa","Mini-Series","","","9.2","","2013","documentary","3961","2013-01-02","http://www.imdb.com/title/tt2571774/"
"105","tt1579361","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","Chasing Ice","Documentary","Jeff Orlowski","","7.8","75","2012","documentary, biography","5663","2012-01-23","http://www.imdb.com/title/tt1579361/"
"106","tt2297031","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","TimeScapes","Documentary","Tom Lowe","","7.9","52","2012","documentary","810","2012-04-17","http://www.imdb.com/title/tt2297031/"
"107","tt1832668","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","How the Universe Works","TV Series","","","9.0","60","2010","documentary","3132","2010-04-25","http://www.imdb.com/title/tt1832668/"
"108","tt1683876","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","Happy People: A Year in the Taiga","Documentary","Werner Herzog, Dmitry Vasyukov","","7.7","90","2010","documentary","4254","2010-09","http://www.imdb.com/title/tt1683876/"
"109","tt1521877","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","Vanishing of the Bees","Documentary","Maryam Henein, George Langworthy","6","7.1","87","2009","documentary, history","890","2009-10-09","http://www.imdb.com/title/tt1521877/"
"110","tt1371711","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","Charles Darwin and the Tree of Life","Documentary","","","8.5","","2009","documentary","1402","2009-02-01","http://www.imdb.com/title/tt1371711/"
"111","tt1476750","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","River Monsters","TV Series","","","8.2","","2009","documentary","3029","2009-04-05","http://www.imdb.com/title/tt1476750/"
"112","tt0956101","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","Big River Man","Documentary","John Maringouin","","7.4","100","2009","documentary","1365","2009-01-16","http://www.imdb.com/title/tt0956101/"
"113","tt1464482","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","The National Parks: America's Best Idea","Mini-Series","","7","8.5","120","2009","documentary, history","856","2009-09-27","http://www.imdb.com/title/tt1464482/"
"114","tt1114277","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","Up the Yangtze","Documentary","Yung Chang","","7.5","93","2007","documentary","1569","2007-09-30","http://www.imdb.com/title/tt1114277/"
"115","tt0841084","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","Blindsight","Documentary","Lucy Walker","","7.4","104","2006","documentary, adventure","564","2006-09-11","http://www.imdb.com/title/tt0841084/"
"116","tt0883680","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","Everest: Beyond the Limit","Mini-Series","Barny Revill, Ed Wardle","","8.4","","2006","documentary, adventure","638","2006-11-11","http://www.imdb.com/title/tt0883680/"
"117","tt0795176","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","Planet Earth","Mini-Series","","7","9.5","48","2006","documentary","92648","2006-02-27","http://www.imdb.com/title/tt0795176/"
"118","tt0760222","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","Life in the Undergrowth","Mini-Series","","","9.1","50","2005","documentary","2601","2005-11-23","http://www.imdb.com/title/tt0760222/"
"119","tt1762300","Sun Apr 14 11:21:47 2013","Sun Apr 14 11:21:47 2013","","One Life","Documentary","Michael Gunton, Martha Holmes","","7.9","85","2011","documentary","1807","2011-07-22","http://www.imdb.com/title/tt1762300/"
