"title_imdb","title_type_imdb","directors_imdb","imdb_rating_imdb","runtime_imdb","year_imdb","num_votes_imdb","rel_date_imdb","url_imdb","id_imdb","title_rt","year_rt","genre_rt","mpaa_rating_rt","runtime_rt","the_rel_date_rt","dvd_rel_date_rt","critics_score_rt","critics_rating_rt","audience_score_rt","audience_rating_rt","actor1_rt","actor2_rt","actor3_rt","actor4_rt","actor5_rt","director_rt","studio_rt","url_rt"
"Black Beauty","Feature Film","Caroline Thompson",6.6,88,"1994",6953,"1994-07-29","http://www.imdb.com/title/tt0109279/","0109279","Black Friday","1994","Mystery & Suspense","R","94","1994-07-29","2005-05-02",-1,NA,10,"Spilled","Gary Daniels","Christopher Stapleton","Christopher J. Stapleton","Ryan Kos","Christopher Janney","Darren Doane",NA,"//www.rottentomatoes.com/m/1126533-black_friday/"
"Lena: My 100 Children","TV Movie","Edwin Sherin",6.9,100,"1987",92,"1987-11-23","http://www.imdb.com/title/tt0093404/","0093404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"U Turn","Feature Film","Oliver Stone",6.8,125,"1997",41385,"1997-08-27","http://www.imdb.com/title/tt0120399/","0120399","U-Turn","1997","Drama","R","121","1997-10-03","1998-03-31",59,"Rotten",62,"Upright","Sean Penn","Nick Nolte","Jennifer Lopez","Powers Boothe","Claire Danes","Oliver Stone","Sony Pictures Home Entertainment","//www.rottentomatoes.com/m/u_turn_1997/"
"Pegasus Vs. Chimera","TV Movie","John Bradshaw",2.7,90,"2012",374,"2012-09-15","http://www.imdb.com/title/tt1700443/","1700443","Pegasus Vs. Chimera","2012","Science Fiction & Fantasy","Unrated","86",NA,"2013-04-23",-1,NA,15,"Spilled","Sebastian Roche","Nazneen Contractor","Carlo Rota","Rae Dawn Chong","Mimi Kuzyk","John Bradshaw","Sony Pictures Entertainment","//www.rottentomatoes.com/m/pegasus_vs_chimera/"
"Something's Gotta Give","Feature Film","Nancy Meyers",6.7,128,"2003",88523,"2003-12-12","http://www.imdb.com/title/tt0337741/","0337741","Something's Gotta Give","2003","Comedy","PG-13","123","2003-12-12","2004-03-30",71,"Fresh",69,"Upright","Jack Nicholson","Diane Keaton","Frances McDormand","Keanu Reeves","Amanda Peet","Nancy Meyers","Sony Pictures","//www.rottentomatoes.com/m/somethings_gotta_give/"
"A Boy and His Dog","Feature Film","L.Q. Jones",6.6,91,"1975",12221,"1975-03","http://www.imdb.com/title/tt0072730/","0072730","A Boy and His Dog","1975","Drama","R","87","1975-03-01","2003-11-18",75,"Fresh",63,"Upright","Don Johnson","Susanne Benton","Jason Robards","Tiger","Charles McGraw","L.Q. Jones","eRealBiz","//www.rottentomatoes.com/m/boy_and_his_dog/"
"Terror Train","Feature Film","Roger Spottiswoode",5.9,97,"1980",6304,"1980-10-03","http://www.imdb.com/title/tt0081617/","0081617","Terror Train","1980","Horror","R","97","1980-01-01","2004-09-07",36,"Rotten",39,"Spilled","Ben Johnson","Jamie Lee Curtis","David Copperfield","Hart Bochner","Derek McKinnon","Roger Spottiswoode","20th Century Fox Film Corporation","//www.rottentomatoes.com/m/terror_train/"
"Leatherface: Texas Chainsaw Massacre III","Feature Film","Jeff Burr",5.1,85,"1990",9565,"1990-01-12","http://www.imdb.com/title/tt0099994/","0099994","Leatherface: The Texas Chainsaw Massacre III","1990","Horror","R","85","1990-01-12","2003-10-07",19,"Rotten",32,"Spilled","Kate Hodge","Ken Foree","Viggo Mortensen","R.A. Mihailoff","Miriam Byrd-Nethery","Jeff Burr","Sony Pictures Home Entertainment","//www.rottentomatoes.com/m/leatherface_the_texas_chainsaw_massacre_3/"
"Lorenzo's Oil","Feature Film","George Miller",7.2,129,"1992",15913,"1992-12-30","http://www.imdb.com/title/tt0104756/","0104756","Lorenzo's Oil","1992","Drama","PG-13","136","1992-12-30","2004-04-06",94,"Fresh",79,"Upright","Nick Nolte","Susan Sarandon","Peter Ustinov","Kathleen Wilhoite","Gerry Bamman",NA,"MCA Universal Home Video","//www.rottentomatoes.com/m/lorenzos_oil/"
"Les Miserables","TV Movie","Glenn Jordan",7.3,150,"1978",1126,"1978-12-27","http://www.imdb.com/title/tt0077936/","0077936","Les Miserables","1978","Drama","Unrated","150","1978-12-27","2004-06-22",-1,NA,74,"Upright","Richard Jordan","Anthony Perkins","Cyril Cusack","John Gielgud","Claude Dauphin","Glenn Jordan","ITV","//www.rottentomatoes.com/m/1012226-les_miserables/"
"Murder on a Sunday Morning","Documentary","Jean-Xavier de Lestrade",8.1,111,"2001",3051,"2001-09-14","http://www.imdb.com/title/tt0307197/","0307197","Murder on a Sunday Morning","2001","Documentary","Unrated","111","2001-01-01","2003-04-29",-1,NA,90,"Upright","Pat McGuinness","Brenton Butler","Patrick McGuinness","Ann Finnell","James Stephens","Jean-Xavier de Lestrade","Centre National de la Cinematographie","//www.rottentomatoes.com/m/murder_on_a_sunday_morning/"
"Groundhog Day","Feature Film","Harold Ramis",8.1,101,"1993",414687,"1993-02-12","http://www.imdb.com/title/tt0107048/","0107048","Groundhog Day","1993","Romance","PG","102","1993-02-12","2002-01-29",96,"Certified Fresh",87,"Upright","Bill Murray","Andie MacDowell","Chris Elliott","Stephen Tobolowsky","Brian Doyle-Murray","Harold Ramis","Columbia Pictures","//www.rottentomatoes.com/m/groundhog_day/"
"A Time for Life","Documentary","Lee Stanley",8.4,NA,"1991",53,"1991","http://www.imdb.com/title/tt0283058/","0283058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hitchcock: Shadow of a Genius","Documentary","Ted Haimes",7.9,101,"1999",489,"1999-10-13","http://www.imdb.com/title/tt0202907/","0202907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conviction","Feature Film","Tony Goldwyn",7.2,107,"2010",33720,"2010-09-11","http://www.imdb.com/title/tt1244754/","1244754","Conviction","2010","Drama","R","107","2010-10-15","2011-02-01",67,"Fresh",70,"Upright","Sam Rockwell","Minnie Driver","Melissa Leo","Peter Gallagher","Ari Graynor","Tony Goldwyn","Fox Searchlight","//www.rottentomatoes.com/m/conviction_2010/"
