"title_imdb","title_type_imdb","directors_imdb","imdb_rating_imdb","runtime_imdb","year_imdb","num_votes_imdb","rel_date_imdb","url_imdb","id_imdb","title_rt","year_rt","genre_rt","mpaa_rating_rt","runtime_rt","the_rel_date_rt","dvd_rel_date_rt","critics_score_rt","critics_rating_rt","audience_score_rt","audience_rating_rt","actor1_rt","actor2_rt","actor3_rt","actor4_rt","actor5_rt","director_rt","studio_rt","url_rt"
"Pushing Hands","Feature Film","Ang Lee",7.3,105,"1992",2407,"1992-02","http://www.imdb.com/title/tt0105652/","0105652","Tui shou (Pushing Hands)","1995","Drama","Unrated","105","1995-06-02","1996-01-23",-1,NA,81,"Upright","Sihung Lung","Pamela Yang","Bo Z. Wang","Deb Snyder","Wong Lai","Ang Lee",NA,"//www.rottentomatoes.com/m/tui_shou/"
"Filly Brown","Feature Film","Youssef Delara, Michael D. Olmos",5.5,80,"2012",899,"2012-01-20","http://www.imdb.com/title/tt1869425/","1869425","Filly Brown","2013","Drama","R","100","2013-04-19","2013-07-30",45,"Rotten",73,"Upright","Gina Rodriguez","Jenni Rivera","Lou Diamond Phillips","Emilio Rivera","Joseph Julian Soria","Michael D. Olmos","Indomina Media Inc.","//www.rottentomatoes.com/m/filly_brown_2012/"
"The Force of Evil","TV Movie","Richard Lang",7.4,100,"1977",65,"1977-03-13","http://www.imdb.com/title/tt0285569/","0285569","The Force of Evil","1977","Drama","Unrated","100",NA,NA,-1,NA,0,NA,"John Anderson","William Watson","Patricia Crowley","Eve Plumb","Pat Crowley","Richard Lang",NA,"//www.rottentomatoes.com/m/the_force_of_evil/"
"The Dish","Feature Film","Rob Sitch",7.3,101,"2000",12285,"2000-09-15","http://www.imdb.com/title/tt0205873/","0205873","The Dish","2001","Drama","PG-13","101","2001-03-14","2001-08-28",96,"Certified Fresh",81,"Upright","Sam Neill","Kevin Harrington","Patrick Warburton","Tom Long","Genevieve Mooy","Rob Sitch","Warner Bros. Pictures","//www.rottentomatoes.com/m/dish/"
"Waiting for Guffman","Feature Film","Christopher Guest",7.6,84,"1996",22381,"1996-08-21","http://www.imdb.com/title/tt0118111/","0118111","Waiting for Guffman","1996","Comedy","R","84","1996-08-21","2001-08-21",91,"Certified Fresh",91,"Upright","Christopher Guest","Catherine O'Hara","Parker Posey","Eugene Levy","Bob Balaban","Christopher Guest","Sony Pictures Classics","//www.rottentomatoes.com/m/waiting_for_guffman/"
"The Age of Innocence","Feature Film","Martin Scorsese",7.2,139,"1993",35096,"1993-08-31","http://www.imdb.com/title/tt0106226/","0106226","The Age of Innocence","1993","Drama","PG","138","1993-10-01","2001-11-06",80,"Certified Fresh",76,"Upright","Daniel Day-Lewis","Michelle Pfeiffer","Winona Ryder","Richard E. Grant","Alec McCowen","Martin Scorsese","Columbia Pictures","//www.rottentomatoes.com/m/age_of_innocence/"
"Something Evil","TV Movie","Steven Spielberg",5.6,73,"1972",929,"1972-01-21","http://www.imdb.com/title/tt0069298/","0069298","Something Evil","1972","Horror","Unrated","73","1972-01-21",NA,-1,NA,20,"Spilled","Sandy Dennis","Darren McGavin","Ralph Bellamy","Jeff Corey","Johnny Whitaker","Steven Spielberg","CBS","//www.rottentomatoes.com/m/something_evil/"
"The Millionaire Tour","Feature Film","Inon Shampanier",6.4,84,"2012",2196,"2012-03-30","http://www.imdb.com/title/tt1937388/","1937388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dive!","Documentary","Jeremy Seifert",7.4,45,"2010",247,"2010-02-05","http://www.imdb.com/title/tt1490637/","1490637","Dive!","2010","Documentary","PG","55",NA,"2011-07-19",-1,NA,89,"Upright",NA,NA,NA,NA,NA,"Jeremy Seifert",NA,"//www.rottentomatoes.com/m/dive_2010/"
"Malevolence","Feature Film","Stevan Mena",5.1,90,"2003",2386,"2003","http://www.imdb.com/title/tt0388230/","0388230","Malevolence","2004","Horror","R","85","2004-09-10","2005-04-19",33,"Rotten",27,"Spilled","Samantha Dark","R. Brandon Johnson","Brandon Johnson","Heather Magee","Richard Glover","Stevan Mena","Anchor Bay Entertainment","//www.rottentomatoes.com/m/10004684-malevolence/"
"Old Partner","Documentary","Chung-ryoul Lee",7.8,78,"2008",333,"2008-10-04","http://www.imdb.com/title/tt1334549/","1334549","Old Partner","2009","Documentary","Unrated","75","2009-01-15","2010-04-20",91,"Fresh",86,"Upright","Choi Won-kyun","Lee Sam-soon","Moo",NA,NA,"Chung-ryoul Lee","Shcalo Media Group","//www.rottentomatoes.com/m/old-partner/"
"500 Nations","Mini-Series","",8.5,NA,"1995",375,"1995-04-20","http://www.imdb.com/title/tt0111868/","0111868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Detroit 9000","Feature Film","Arthur Marks",6.4,106,"1973",751,"1973-08","http://www.imdb.com/title/tt0069966/","0069966","Detroit 9000","1998","Drama","R","106","1998-10-09","2000-11-14",25,"Rotten",49,"Spilled","Alex Rocco","Hari Rhodes","Vonetta McGee","Ella Edwards","Donn W. Hayes","Arthur Marks","Miramax","//www.rottentomatoes.com/m/detroit_9000/"
"Lady Jane","Feature Film","Trevor Nunn",7.2,142,"1986",5016,"1986-02-07","http://www.imdb.com/title/tt0091374/","0091374","Lady Jane","1986","Drama","PG-13","141","1986-01-01","2003-02-18",57,"Rotten",76,"Upright","Cary Elwes","John Wood","Michael Hordern","Jill Bennett II","Helena Bonham Carter","Trevor Nunn","Paramount Home Video","//www.rottentomatoes.com/m/lady_jane/"
"Mad Dog Time","Feature Film","Larry Bishop",5.5,93,"1996",2272,"1996-11-08","http://www.imdb.com/title/tt0116953/","0116953","Mad Dog Time","1996","Drama","R","93","1996-11-08","2004-03-02",17,"Rotten",47,"Spilled","Richard Dreyfuss","Jeff Goldblum","Gabriel Byrne","Ellen Barkin","Diane Lane","Larry Bishop","MGM/United Artists","//www.rottentomatoes.com/m/mad_dog_time/"
"Beauty Is Embarrassing","Documentary","Neil Berkeley",7.5,88,"2012",880,"2012-03-10","http://www.imdb.com/title/tt2040281/","2040281","Beauty Is Embarrassing","2012","Documentary","Unrated","92","2012-09-07","2013-01-21",90,"Fresh",89,"Upright","Paul Reubens","Matt Groening","Todd Oldham","Jonathan Dayton","Cliff Benjamin","Neil Berkeley","Independent Pictures","//www.rottentomatoes.com/m/beauty_is_embarrassing/"
"The Snowtown Murders","Feature Film","Justin Kurzel",6.6,119,"2011",12496,"2011-05-16","http://www.imdb.com/title/tt1680114/","1680114","The Snowtown Murders","2012","Drama","Unrated","120","2012-03-02","2012-08-14",83,"Certified Fresh",66,"Upright","Lucas Pittaway","Daniel Henshall","Louise Harris","Craig Coyne","Richard Green","Justin Kurzel","IFC Films","//www.rottentomatoes.com/m/the_snowtown_murders/"
"Superman II","Feature Film","Richard Lester",6.8,127,"1980",71979,"1980-12-04","http://www.imdb.com/title/tt0081573/","0081573","Superman II","1981","Action & Adventure","PG","127","1981-06-19","2001-05-01",89,"Certified Fresh",75,"Upright","Christopher Reeve","Gene Hackman","Margot Kidder","Ned Beatty","Jackie Cooper","Richard Lester","Warner Bros. Pictures","//www.rottentomatoes.com/m/superman_ii/"
"Leap of Faith","Feature Film","Richard Pearce",6,108,"1992",9669,"1992-12-17","http://www.imdb.com/title/tt0104695/","0104695","Leap of Faith","1992","Drama","PG-13","110","1992-12-18","2003-09-23",67,"Fresh",46,"Spilled","Steve Martin","Debra Winger","Lolita Davidovich","Liam Neeson","Lukas Haas","Richard Pearce","Paramount Home Video","//www.rottentomatoes.com/m/1042059-leap_of_faith/"
"The Royal Tenenbaums","Feature Film","Wes Anderson",7.6,110,"2001",201779,"2001-10-05","http://www.imdb.com/title/tt0265666/","0265666","The Royal Tenenbaums","2002","Comedy","R","108","2002-01-04","2002-07-09",80,"Certified Fresh",89,"Upright","Gene Hackman","Anjelica Huston","Gwyneth Paltrow","Ben Stiller","Luke Wilson","Wes Anderson","Buena Vista Distribution Compa","//www.rottentomatoes.com/m/the_royal_tenenbaums/"
"Python Night: 30 Years of Monty Python","Documentary","Terry Jones, Elaine Shepherd",8.2,125,"1999",535,"1999-10-08","http://www.imdb.com/title/tt0220292/","0220292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"School for Scoundrels","Feature Film","Todd Phillips",5.9,100,"2006",25808,"2006-09-29","http://www.imdb.com/title/tt0462519/","0462519","School for Scoundrels","2006","Comedy","PG-13","101","2006-09-23","2007-02-13",25,"Rotten",53,"Spilled","Billy Bob Thornton","Jon Heder","Jacinda Barrett","Michael Clarke Duncan","Horatio Sanz","Todd Phillips","MGM","//www.rottentomatoes.com/m/school_for_scoundrels/"
"Rhinestone","Feature Film","Bob Clark",3.6,111,"1984",5544,"1984-06-20","http://www.imdb.com/title/tt0088001/","0088001","Rhinestone","1984","Comedy","PG","120","1984-06-20","2005-03-22",15,"Rotten",36,"Spilled","Dolly Parton","Sylvester Stallone","Richard Farnsworth","Ron Leibman","Tim Thomerson","Bob Clark (III)","20th Century Fox","//www.rottentomatoes.com/m/rhinestone/"
"Burn After Reading","Feature Film","Ethan Coen, Joel Coen",7,96,"2008",240033,"2008-08-27","http://www.imdb.com/title/tt0887883/","0887883","Burn After Reading","2008","Drama","R","96","2008-08-27","2008-12-21",78,"Certified Fresh",64,"Upright","George Clooney","Frances McDormand","John Malkovich","Brad Pitt","Tilda Swinton","Joel Coen","Focus Features","//www.rottentomatoes.com/m/burn_after_reading/"
"The Doors","Feature Film","Oliver Stone",7.2,140,"1991",66489,"1991-02-23","http://www.imdb.com/title/tt0101761/","0101761","The Doors","1991","Drama","R","138","1991-03-01","1997-08-19",54,"Rotten",80,"Upright","Val Kilmer","Meg Ryan","Kevin Dillon","Kyle MacLachlan","Frank Whaley","Oliver Stone","Sony Pictures Home Entertainment","//www.rottentomatoes.com/m/doors/"
"The Wood","Feature Film","Rick Famuyiwa",6.9,106,"1999",6336,"1999-07-14","http://www.imdb.com/title/tt0161100/","0161100","The Wood","1999","Drama","R","106","1999-07-16","2000-01-18",61,"Fresh",92,"Upright","Omar Epps","Sean Nelson","Taye Diggs","Trent Cameron","Richard T. Jones","Rick Famuyiwa","Paramount Pictures","//www.rottentomatoes.com/m/wood/"
"Bach in Auschwitz","Documentary","Michel Daeron",7.4,104,"1999",26,"1999-05-06","http://www.imdb.com/title/tt0220356/","0220356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jason X","Feature Film","Jim Isaac",4.4,91,"2001",37769,"2001-07-24","http://www.imdb.com/title/tt0211443/","0211443","Jason X","2002","Horror","R","91","2002-04-26","2004-06-01",19,"Rotten",24,"Spilled","Kane Hodder","Lexa Doig","Lisa Ryder","Chuck Campbell","Jonathan Potts","James Isaac","New Line Cinema","//www.rottentomatoes.com/m/jason_x/"
"Dragon Wars: D-War","Feature Film","Hyung-rae Shim",3.6,90,"2007",21268,"2007-08-01","http://www.imdb.com/title/tt0372873/","0372873","Dragon Wars","2007","Drama","PG-13","90","2007-09-13","2008-01-08",29,"Rotten",19,"Spilled","Jason Behr","Amanda Brooks","Robert Forster","Aimee Garcia","Craig Robinson","Hyung-rae Shim","Sony Pictures Home Entertainment","//www.rottentomatoes.com/m/dragon_wars/"
"Fallen","Feature Film","Gregory Hoblit",7,124,"1998",56201,"1998-01-16","http://www.imdb.com/title/tt0119099/","0119099","Fallen","1997","Drama","R","123","1997-06-01","1998-06-16",40,"Rotten",73,"Upright","Denzel Washington","John Goodman","Donald Sutherland","Embeth Davidtz","James Gandolfini","Gregory Hoblit","Warner Home Video","//www.rottentomatoes.com/m/1080990-fallen/"
"The Gleaners & I","Documentary","Agnès Varda",7.6,82,"2000",3459,"2000-07-06","http://www.imdb.com/title/tt0247380/","0247380","The Gleaners and I","2001","Documentary","Unrated","82","2001-04-06","2002-07-23",92,"Fresh",86,"Upright","Bodan Litnanski","Francois Wertheimer","Agnes Varda","Margaret Dumont","Virginia Grey","Agnes Varda","Zeitgeist Films","//www.rottentomatoes.com/m/the_gleaners_and_i/"
"Tamara Drewe","Feature Film","Stephen Frears",6.2,107,"2010",16717,"2010-05-18","http://www.imdb.com/title/tt1486190/","1486190","Tamara Drewe","2010","Drama","R","111","2010-10-08","2011-02-08",66,"Fresh",42,"Spilled","Gemma Arterton","Roger Allam","Bill Camp","Dominic Cooper","Luke Evans","Stephen Frears","Sony Pictures Classics","//www.rottentomatoes.com/m/tamara_drewe_2010/"
"The Thick of It","TV Movie","Christopher Guest",7.9,NA,"2007",108,"2007","http://www.imdb.com/title/tt0903651/","0903651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry on Abroad","Feature Film","Gerald Thomas",6.4,88,"1972",2376,"1972-12-15","http://www.imdb.com/title/tt0069847/","0069847","Carry on Abroad","1972","Comedy","R","89","1972-12-01","2013-06-18",-1,NA,77,"Upright","Sidney James","Kenny Williams","Charles Hawtrey","Joan Sims","Bernard Bresslaw","Gerald Thomas","VCI Entertainment","//www.rottentomatoes.com/m/carry_on_abroad_1972/"
"Desperate Lives","TV Movie","Robert Lewis",6,96,"1982",151,"1982-03-03","http://www.imdb.com/title/tt0083822/","0083822","Desperate Lives","1982","Drama","Unrated","96","1982-03-03","2010-01-12",-1,NA,70,"Upright","Diana Scarwid","Doug McKeon","Diane Ladd","Sam Bottoms","Tom Atkins","Robert Lewis","Live Home Video","//www.rottentomatoes.com/m/desperate_lives_1982/"
"Sand Castles","Feature Film","Clenet Verdi-Rose",7.2,93,"2014",284,"2014-03-21","http://www.imdb.com/title/tt2233170/","2233170","Sand Castles","2014","Drama","Unrated","93",NA,NA,-1,NA,95,NA,"Jordon Hodges","Anne Winters","Randy Spence","Saxon Trainor","Daniella Grace","Clenet Verdi-Rose",NA,"//www.rottentomatoes.com/m/sand_castles/"
"Not Without My Daughter","Feature Film","Brian Gilbert",6.2,116,"1991",9357,"1991-01-11","http://www.imdb.com/title/tt0102555/","0102555","Not Without My Daughter","1991","Drama","PG-13","107","1991-01-11","2001-10-02",47,"Rotten",71,"Upright","Sally Field","Alfred Molina","Sheila Rosenthal","Roshan Seth","Sarah Badel","Brian Gilbert","MGM Home Entertainment","//www.rottentomatoes.com/m/not_without_my_daughter/"
"Comic Relief: Uptown Downstairs Abbey","TV Movie","Adrian Edmondson",7.7,NA,"2011",112,"2011-03-18","http://www.imdb.com/title/tt1867525/","1867525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Yes Men Fix the World","Documentary","The Yes Men, The Yes Men",7.6,87,"2009",4541,"2009-01-18","http://www.imdb.com/title/tt1352852/","1352852","The Yes Men Fix the World","2009","Documentary","Unrated","87","2009-01-18","2010-04-01",79,"Certified Fresh",77,"Upright","Andy Bichlbaum","Reggie Waits","Mike Bonanno",NA,NA,"Andy Bichlbaum","Cinetic Media","//www.rottentomatoes.com/m/yes_men_fix_the_world/"
"Alle Juden raus!","Documentary","Emanuel Rund",7.2,82,"1991",23,"1991-02-21","http://www.imdb.com/title/tt0099015/","0099015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hornblower: Mutiny","TV Movie","Andrew Grieve",8.2,240,"2001",3104,"2001-04-08","http://www.imdb.com/title/tt0273656/","0273656","Comrades","2001","Documentary","Unrated","106","2001-01-01",NA,-1,NA,0,NA,NA,NA,NA,NA,NA,"Mitko Panov",NA,"//www.rottentomatoes.com/m/comrades_2001/"
"Oh, God! You Devil","Feature Film","Paul Bogart",5.3,97,"1984",1816,"1984-11-09","http://www.imdb.com/title/tt0087835/","0087835","Oh, God! You Devil","1984","Comedy","PG","96","1984-11-09","2005-02-15",40,"Rotten",41,"Spilled","George Burns","Ted Wass","Roxanne Hart","Eugene Roche","John Doolittle","Paul Bogart","WARNER BROTHERS PICTURES","//www.rottentomatoes.com/m/oh_god_you_devil/"
"Meet Joe Black","Feature Film","Martin Brest",7.1,178,"1998",163490,"1998-11-02","http://www.imdb.com/title/tt0119643/","0119643","Meet Joe Black","1998","Drama","PG-13","181","1998-11-13","1999-04-06",51,"Rotten",81,"Upright","Brad Pitt","Anthony Hopkins","Claire Forlani","Jake Weber","Marcia Gay Harden","Martin Brest","Universal Pictures","//www.rottentomatoes.com/m/meet_joe_black/"
"Rulers of the City","Feature Film","Fernando Di Leo",6,88,"1976",530,"1976-12-03","http://www.imdb.com/title/tt0076518/","0076518","Mr. Scarface (I padroni della citta)","1976","Drama","R","85","1976-12-03","2005-03-15",-1,NA,50,"Spilled","Jack Palance","Edmund Purdom","Al Cliver","Harry Baer","Gisela Hahn","Fernando Di Leo","Divina-Film","//www.rottentomatoes.com/m/mister_scarface/"
"The Bay","Feature Film","Barry Levinson",5.6,84,"2012",19285,"2012-09-13","http://www.imdb.com/title/tt1713476/","1713476","The Bay","2012","Horror","R","85","2012-11-02","2013-03-05",77,"Certified Fresh",43,"Spilled","Kristen Connolly","Will Rogers (IV)","Kether Donohue","Frank Deal","Stephen Kunken","Barry Levinson","Roadside Attraction","//www.rottentomatoes.com/m/the_bay_2012/"
"Scandal","Feature Film","Michael Caton-Jones",6.4,115,"1989",3688,"1989-03-03","http://www.imdb.com/title/tt0098260/","0098260","Scandal","1989","Art House & International","R","100","1989-05-28","2000-09-05",91,"Fresh",61,"Upright","John Hurt","Joanne Whalley","Bridget Fonda","Ian McKellen","Leslie Phillips","Michael Caton-Jones","HBO Video","//www.rottentomatoes.com/m/scandal_1989/"
"Sharpe's Waterloo","TV Movie","Tom Clegg",8.2,101,"1997",1615,"1997-05-21","http://www.imdb.com/title/tt0120111/","0120111","Sharpe's Waterloo","2006","Action & Adventure","Unrated","","2006-08-26","2006-09-05",-1,NA,85,"Upright","Abigail Cruttenden","Alexis Denisof","Cecile Paoli","Daragh O'Malley","Hugh Fraser","Tom Clegg",NA,"//www.rottentomatoes.com/m/sharpes-waterloo/"
"Imagine: John Lennon","Documentary","Andrew Solt",7.9,100,"1988",3488,"1988-09-29","http://www.imdb.com/title/tt0095360/","0095360","Imagine: John Lennon","1988","Musical & Performing Arts","R","106","1988-10-07","2005-12-06",92,"Fresh",91,"Upright","John Lennon","Dick Cavett","Desire de Freitas","Mary Elizabeth Smith","Jane Forth","Andrew Solt","WARNER BROTHERS PICTURES","//www.rottentomatoes.com/m/imagine/"
"Storage 24","Feature Film","Johannes Roberts",4.4,87,"2012",5415,"2012-06-29","http://www.imdb.com/title/tt1986953/","1986953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Locke","Feature Film","Steven Knight",7.1,85,"2013",82851,"2013-09-02","http://www.imdb.com/title/tt2692904/","2692904","Locke","2014","Mystery & Suspense","R","85","2014-04-25","2014-08-12",91,"Certified Fresh",71,"Upright","Tom Hardy","Tom Holland (X)","Bill Milner","Andrew Scott","Ruth Wilson","Steven Knight","A24 Films","//www.rottentomatoes.com/m/locke/"
"The SpongeBob SquarePants Movie","Feature Film","Stephen Hillenburg, Mark Osborne",7,87,"2004",56128,"2004-11-14","http://www.imdb.com/title/tt0345950/","0345950","The Spongebob Squarepants Movie","2004","Animation","PG","90","2004-11-19","2005-03-01",68,"Fresh",77,"Upright","Bill Fagerbakke","Mr. Lawrence","Carolyn Lawrence","Rodger Bumpass","Spongebob Squarepants","Sherm Cohen","Paramount Pictures","//www.rottentomatoes.com/m/spongebob_squarepants_movie/"
"The Muppet Christmas Carol","Feature Film","Brian Henson",7.7,85,"1992",33101,"1992-12-11","http://www.imdb.com/title/tt0104940/","0104940","The Muppet Christmas Carol","1992","Science Fiction & Fantasy","G","120","1992-01-01","2002-10-08",69,"Fresh",85,"Upright","Michael Caine","Steve Whitmire","Frank Oz","Dave Goelz","Jerry Nelson","Brian Henson","Walt Disney Home Entertainment","//www.rottentomatoes.com/m/muppet_christmas_carol/"
"Die Hard 2","Feature Film","Renny Harlin",7.1,124,"1990",259822,"1990-07-02","http://www.imdb.com/title/tt0099423/","0099423","Die Hard 2","1990","Mystery & Suspense","R","124","1990-07-02","1999-03-09",69,"Fresh",70,"Upright","Bruce Willis","Bonnie Bedelia","William Atherton","Reginald VelJohnson","Franco Nero","Renny Harlin","20th Century Fox","//www.rottentomatoes.com/m/die_hard_2_1990/"
"The Reckoning","Feature Film","Paul McGuigan",6.6,112,"2002",4908,"2002","http://www.imdb.com/title/tt0258816/","0258816","The Reckoning","2004","Documentary","R","100","2004-03-05","2004-08-03",40,"Rotten",57,"Spilled","Paul Bettany","Willem Dafoe","Simon McBurney","Ewen Bremner","Gina McKee","Pamela Yates","Paramount Classics","//www.rottentomatoes.com/m/1130191-reckoning/"
"Alice in Wonderland","Feature Film","Tim Burton",6.5,108,"2010",290356,"2010-02-26","http://www.imdb.com/title/tt1014759/","1014759","Alice in Wonderland","2010","Action & Adventure","PG","108","2010-03-05","2010-06-01",52,"Rotten",55,"Spilled","Johnny Depp","Mia Wasikowska","Anne Hathaway","Helena Bonham Carter","Matt Lucas","Tim Burton","Walt Disney Pictures","//www.rottentomatoes.com/m/1221547-alice_in_wonderland/"
"Endgame: Blueprint for Global Enslavement","Documentary","Alex Jones",7.1,139,"2007",1623,"2007-11-01","http://www.imdb.com/title/tt1135489/","1135489","Endgame: Blueprint for Global Enslavement","2007","Documentary","Unrated","140",NA,"2007-01-01",-1,NA,85,"Upright","Arthur Peterson","Daniel Estulin","David Rockefeller","George Pataki","H.G. Wells","Alex Jones",NA,"//www.rottentomatoes.com/m/endgame-blueprint-for-global-enslavement/"
"I'm Not There.","Feature Film","Todd Haynes",7,135,"2007",47297,"2007-09-03","http://www.imdb.com/title/tt0368794/","0368794","I'm Not There","2007","Drama","R","135","2007-11-21","2008-05-06",76,"Certified Fresh",70,"Upright","Cate Blanchett","Christian Bale","Richard Gere","Heath Ledger","Marcus Carl Franklin","Todd Haynes","The Weinstein Co.","//www.rottentomatoes.com/m/im_not_there_suppositions_on_a_film_concerning_dylan/"
"Three Wishes","Feature Film","Martha Coolidge",6.1,115,"1995",2145,"1995-10-27","http://www.imdb.com/title/tt0114663/","0114663","Three Wishes","1995","Drama","PG","114","1995-11-03","2001-08-07",13,"Rotten",51,"Spilled","Patrick Swayze","Mary Elizabeth Mastrantonio","Joe Mazzello","Seth Mumy","David Marshall Grant","Martha Coolidge","HBO Video","//www.rottentomatoes.com/m/three_wishes/"
"Aliens","Feature Film","James Cameron",8.4,137,"1986",466400,"1986-07-18","http://www.imdb.com/title/tt0090605/","0090605","Aliens","1986","Action & Adventure","R","138","1986-07-18","1999-06-01",98,"Certified Fresh",94,"Upright","Sigourney Weaver","Carrie Henn","Michael Biehn","Paul Reiser","Bill Paxton","James Cameron","20th Century Fox Film Corporat","//www.rottentomatoes.com/m/1000617-aliens/"
"Driving Miss Daisy","Feature Film","Bruce Beresford",7.4,99,"1989",69338,"1989-12-13","http://www.imdb.com/title/tt0097239/","0097239","Driving Miss Daisy","1989","Drama","PG","99","1989-06-01","1997-04-29",81,"Certified Fresh",81,"Upright","Jessica Tandy","Morgan Freeman","Dan Aykroyd","Patti LuPone","Esther Rolle","Bruce Beresford","Fathom Events","//www.rottentomatoes.com/m/driving_miss_daisy/"
"The Experts","Feature Film","Dave Thomas",4.6,94,"1989",1847,"1989-01-13","http://www.imdb.com/title/tt0097314/","0097314","The Experts","1989","Drama","PG-13","94","1989-01-13",NA,-1,NA,26,"Spilled","John Travolta","Arye Gross","Kelly Preston","Deborah Foreman","Charles Martin Smith","Dave Thomas","Paramount Pictures","//www.rottentomatoes.com/m/experts/"
"Max","Feature Film","Menno Meyjes",6.6,106,"2002",6228,"2002-09-10","http://www.imdb.com/title/tt0290210/","0290210","Max","2002","Drama","R","109","2002-12-27","2003-05-20",69,"Fresh",64,"Upright","John Cusack","Noah Taylor","Leelee Sobieski","Molly Parker","Ulrich Thomsen","Menno Meyjes","Lions Gate Films","//www.rottentomatoes.com/m/max/"
"North Shore","Feature Film","William Phelps",6.4,96,"1987",1757,"1987-08-14","http://www.imdb.com/title/tt0093648/","0093648","North Shore","1987","Drama","PG","96","1987-08-14","2003-01-07",-1,NA,83,"Upright","Matt Adler","Nia Peeples","Gregory Harrison","John Philbin","Gerry Lopez","William Phelps","MCA Universal Home Video","//www.rottentomatoes.com/m/north_shore/"
"Serpico","Feature Film","Sidney Lumet",7.8,130,"1973",75468,"1973-12-05","http://www.imdb.com/title/tt0070666/","0070666","Serpico","1973","Drama","R","129","1973-12-05","2002-12-03",90,"Fresh",88,"Upright","Al Pacino","John Randolph","Jack Kehoe","Tony Roberts","Biff McGuire","Sidney Lumet","Paramount Pictures","//www.rottentomatoes.com/m/serpico/"
"Basic","Feature Film","John McTiernan",6.5,98,"2003",48519,"2003-03-28","http://www.imdb.com/title/tt0264395/","0264395","Basic","2003","Drama","R","98","2003-03-28","2003-07-08",21,"Rotten",64,"Upright","John Travolta","Connie Nielsen","Samuel L. Jackson","Tim Daly","Taye Diggs","John McTiernan","Sony Pictures Entertainment","//www.rottentomatoes.com/m/basic/"
"The Guru","Feature Film","Daisy von Scherler Mayer",5.4,94,"2002",13523,"2002-08-21","http://www.imdb.com/title/tt0280720/","0280720","The Guru","2002","Comedy","R","91","2002-01-31","2003-06-03",57,"Rotten",40,"Spilled","Jimi Mistry","Heather Graham","Marisa Tomei","Michael McKean","Dash Mihok","Daisy von Scherler Mayer","Universal Pictures","//www.rottentomatoes.com/m/1119875-guru/"
"Kenny & Company","Feature Film","Don Coscarelli",7.6,90,"1976",352,"1976-11","http://www.imdb.com/title/tt0074739/","0074739","Kenny & Co.","1976","Comedy","PG","90","1976-06-01","2005-06-14",-1,NA,82,"Upright","Dan McCann","Mike Baldwin","Jeff Roth","Ralph Richmond","Reggie Bannister","Don Coscarelli","Anchor Bay Entertainment","//www.rottentomatoes.com/m/kenny_and_co/"
"The Color Purple","Feature Film","Steven Spielberg",7.8,154,"1985",58668,"1985-12-16","http://www.imdb.com/title/tt0088939/","0088939","The Color Purple","1985","Drama","PG-13","154","1985-12-16","2003-02-18",88,"Fresh",94,"Upright","Whoopi Goldberg","Danny Glover","Margaret Avery","Oprah Winfrey","Willard E. Pugh","Steven Spielberg","Warner Home Video","//www.rottentomatoes.com/m/color_purple/"
"Death Sentence","TV Movie","E.W. Swackhamer",5.5,74,"1974",176,"1974-10-02","http://www.imdb.com/title/tt0071400/","0071400","Death Sentence","1974","Mystery & Suspense","R","74","1974-10-02","1998-02-04",-1,NA,20,"Spilled","Cloris Leachman","Laurence Luckinbill","Alan Oppenheimer","Nick Nolte","William Schallert","E.W. Swackhamer","Spelling-Goldberg Productions","//www.rottentomatoes.com/m/1005535-death_sentence/"
"The Dream Team","Feature Film","Howard Zieff",6.5,113,"1989",9654,"1989-04-07","http://www.imdb.com/title/tt0097235/","0097235","The Dream Team","1989","Comedy","PG-13","113","1989-04-07","2003-07-01",54,"Rotten",62,"Upright","Michael Keaton","Christopher Lloyd","Peter Boyle","Stephen Furst","Dennis Boutsikaris","Howard Zieff","MCA Universal Home Video","//www.rottentomatoes.com/m/1006287-dream_team/"
"The Man Without a Face","Feature Film","Mel Gibson",6.7,115,"1993",22079,"1993-08-25","http://www.imdb.com/title/tt0107501/","0107501","The Man Without a Face","1993","Drama","PG-13","114","1993-08-25","2004-02-24",67,"Fresh",64,"Upright","Mel Gibson","Nick Stahl","Margaret Whitton","Fay Masterson","Gaby Hoffmann","Mel Gibson","Warner Home Video","//www.rottentomatoes.com/m/man_without_a_face/"
