rank,title,studio,inf_ad_bo
159,Mission: Impossible,Par.,341490600
160,The Hunger Games: Mockingjay - Part 1,LGF,339662300
161,Minions,Uni.,335315360
162,Saturday Night Fever,Par.,338643500
163,On Golden Pond,Uni.,338473300
164,Austin Powers: The Spy Who Shagged Me,NL,338262700
165,Harry Potter and the Half-Blood Prince,WB,337529200
166,Bruce Almighty,Uni.,335853400
167,Harry Potter and the Prisoner of Azkaban,WB,335132500
168,Funny Girl,Col.,333929000
169,Mission: Impossible II,Par.,333305800
170,Rush Hour 2,NL,333252700
171,Apollo 13,Uni.,332413500
172,Patton,Fox,332253600
173,Fatal Attraction,Par.,330937400
174,Liar Liar,Uni.,329621900
175,Robin Hood: Prince of Thieves,WB,327843000
176,Beverly Hills Cop II,Par.,327766300
177,Iron Man 2,Par.,327760200
178,Up,BV,327543300
179,Batman Returns,WB,327232900
180,Signs,BV,327208600
181,Superman II,WB,324557100
182,The Twilight Saga: New Moon,Sum.,324510000
183,"What's Up, Doc?",WB,323788200
184,9 to 5,Fox,320238900
185,The Firm,Par.,318991600
186,Who Framed Roger Rabbit,BV,317472700
187,Skyfall,Sony,315602300
188,The Hobbit: An Unexpected Journey,WB,315533100
189,The Twilight Saga: Eclipse,Sum.,315274800
190,Porky's,Fox,314602900
191,Air Force One,Sony,314190100
192,Stir Crazy,Col.,314067700
193,A Star Is Born (1976),WB,313239400
194,There's Something About Mary,Fox,312571700
195,Cars,BV,310786600
196,The Hangover,WB,309963600
197,Lethal Weapon 2,WB,309344700
198,Night at the Museum,Fox,308926900
199,Harry Potter and the Deathly Hallows Part 1,WB,308489800
200,Inception,WB,306929000
