"title","title_type","directors","imdb_rating","runtime","year","num_votes","rel_date","url","id","title_rt","year_rt","genre_rt","mpaa_rating","runtime_rt","critics_rating","critics_score","audience_rating","audience_score","actor1","actor2","actor3","actor4","actor5","director_rt","studio","link"
"Leave It to Beaver","Feature Film","Andy Cadiff",5.1,84,"1997",3130,"1997-08-22","http://www.imdb.com/title/tt0119509/","0119509","Leave It to Beaver",1997,"Television","PG","88","Rotten",21,"Spilled",31,"Christopher McDonald","Janine Turner","Cameron Finley","Erik von Detten","Eric Von Detten","Andy Cadif","Universal Pictures","http://www.rottentomatoes.com/m/leave_it_to_beaver/"
"Virgin Territory","Feature Film","David Leland",4.8,97,"2007",6492,"2007-12-17","http://www.imdb.com/title/tt0437954/","0437954","Virgin Territory",2007,"Drama","R","97",NA,-1,"Spilled",22,"Hayden Christensen","Mischa Barton","Tim Roth","Chris Egan","Craig Parkinson","David Lelan","MGM","http://www.rottentomatoes.com/m/virgin-territory/"
"Little Giants","Feature Film","Duwayne Dunham",6.3,107,"1994",18265,"1994-10-14","http://www.imdb.com/title/tt0110364/","0110364","Little Giants",1994,"Comedy","PG","105","Rotten",40,"Upright",63,"Rick Moranis","Ed O'Neill","Shawna Waldron","Devon Sawa","Todd Bosley","Duwayne Dunham","Warner Home Video","http://www.rottentomatoes.com/m/little_giants/"
"I.Q.","Feature Film","Fred Schepisi",6.2,100,"1994",19233,"1994-12-25","http://www.imdb.com/title/tt0110099/","0110099","Formula para amar",1994,"Comedy","PG","95","Rotten",46,"Spilled",47,"Tim Robbins","Meg Ryan","Walter Matthau","Lou Jacobi","Gene Saks","Fred Schepisi","Paramount Home Video","http://www.rottentomatoes.com/m/formula_para_amar/"
"The Love Letter","Feature Film","Peter Ho-Sun Chan",5.4,88,"1999",3489,"1999-05-21","http://www.imdb.com/title/tt0166252/","0166252","The Love Letter",1999,"Comedy","PG-13","88","Rotten",33,"Spilled",38,"Kate Capshaw","Blythe Danner","Ellen DeGeneres","Gloria Stuart","Tom Everett Scott","Peter Ho-Sun Chan","DreamWorks SKG","http://www.rottentomatoes.com/m/1090771-love_letter/"
"Sophie's Choice","Feature Film","Alan J. Pakula",7.7,150,"1982",27296,"1982-12-08","http://www.imdb.com/title/tt0084707/","0084707","Sophie's Choice",1982,"Drama","R","151","Fresh",79,"Upright",85,"Meryl Streep","Kevin Kline","Peter MacNicol","Rita Karin","Stephen D. Newman","Alan J. Pakula","Twentieth Century Fox Home Entertainment","http://www.rottentomatoes.com/m/sophies_choice/"
"Waking Life","Feature Film","Richard Linklater",7.8,99,"2001",45953,"2001-01-23","http://www.imdb.com/title/tt0243017/","0243017","Waking Life",2001,"Drama","R","101","Certified Fresh",80,"Upright",87,"Lorelei Linklater","Trevor Jack Brooks","Glover Gill","Timothy 'Speed' Levitch","Laura Hicks","Richard Linklater","Fox Searchlight","http://www.rottentomatoes.com/m/waking_life/"
"Big Trouble","Feature Film","Barry Sonnenfeld",6.5,85,"2002",16849,"2002-04-02","http://www.imdb.com/title/tt0246464/","0246464","Big Trouble",2002,"Drama","PG-13","84","Rotten",48,"Spilled",54,"Tim Allen","Rene Russo","Stanley Tucci","Tom Sizemore","Johnny Knoxville","Barry Sonnenfeld","Touchstone Pictures","http://www.rottentomatoes.com/m/1109942-big_trouble/"
"Quantum of Solace","Feature Film","Marc Forster",6.7,106,"2008",300510,"2008-10-29","http://www.imdb.com/title/tt0830515/","0830515","Quantum of Solace",2008,"Drama","PG-13","105","Fresh",65,"Spilled",58,"Daniel Craig","Olga Kurylenko","Mathieu Amalric","Judi Dench","Jeffrey Wright","Marc Forster","Sony/MGM","http://www.rottentomatoes.com/m/quantum_of_solace/"
"License to Wed","Feature Film","Ken Kwapis",5.2,91,"2007",31025,"2007-07-03","http://www.imdb.com/title/tt0762114/","0762114","License to Wed",2007,"Drama","PG-13","91","Rotten",7,"Spilled",53,"Robin Williams","Mandy Moore","John Krasinski","Eric Christian Olsen","Christine Taylor","Ken Kwapis","Warner Bros. Pictures","http://www.rottentomatoes.com/m/1175072-license_to_wed/"
"Hachi: A Dog's Tale","Feature Film","Lasse Hallström",8.2,93,"2009",131497,"2009-06-13","http://www.imdb.com/title/tt1028532/","1028532","Hachi: A Dog's Tale",2009,"Drama","G","93","Fresh",62,"Upright",85,"Richard Gere","Joan Allen","Sarah Roemer","Cary-Hiroyuki Tagawa","Jason Alexander","Lasse Hallstrom","Inferno Entertainment","http://www.rottentomatoes.com/m/hachi_a_dogs_tale/"
"30 Days of Night","Feature Film","David Slade",6.6,113,"2007",131685,"2007-10-16","http://www.imdb.com/title/tt0389722/","0389722","30 Days of Night",2007,"Mystery & Suspense","R","113","Rotten",51,"Spilled",56,"Josh Hartnett","Melissa George","Danny Huston","Ben Foster","Mark Rendall","David Slade","Sony Pictures/Columbia","http://www.rottentomatoes.com/m/30_days_of_night/"
"Quest for Camelot","Feature Film","Frederik Du Chau",6.2,86,"1998",10363,"1998-05-15","http://www.imdb.com/title/tt0120800/","0120800","Quest For Camelot",1998,"Animation","G","86","Rotten",36,"Spilled",59,"Jessalyn Gilsig","Jessalyn Gilsag","Jaleel White","Andrea Corr","Cary Elwes","Bronson Pinchot","Warner Bros. Pictures","http://www.rottentomatoes.com/m/quest_for_camelot/"
"Communion","Feature Film","Philippe Mora",5.7,107,"1989",3922,"1989-11-10","http://www.imdb.com/title/tt0097100/","0097100","Communion",1989,"Drama","R","103","Rotten",20,"Spilled",47,"Christopher Walken","Lindsay Crouse","Joel Carlson","Frances Sternhagen","Andreas Katsulas","Philippe Mora","New Line Cinema","http://www.rottentomatoes.com/m/communion/"
"The Addiction","Feature Film","Abel Ferrara",6.4,82,"1995",6362,"1995-01","http://www.imdb.com/title/tt0112288/","0112288","The Addiction",1995,"Drama","Unrated","90","Fresh",73,"Upright",68,"Lili Taylor","Christopher Walken","Annabella Sciorra","Edie Falco","Paul Calderon","Abel Ferrara","Guild","http://www.rottentomatoes.com/m/1068307-addiction/"
"A Most Mysterious Murder: The Case of Charles Bravo","TV Movie","Michael Samuels",7.5,60,"2004",117,"2004-10-16","http://www.imdb.com/title/tt0435206/","0435206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A Walk in the Clouds","Feature Film","Alfonso Arau",6.6,102,"1995",23435,"1995-05-27","http://www.imdb.com/title/tt0114887/","0114887","A Walk in the Clouds",1995,"Drama","PG-13","103","Rotten",42,"Upright",75,"Keanu Reeves","Aitana Sanchez-Gijon","Anthony Quinn","Giancarlo Giannini","Angelica Aragon","Alfonso Arau","Twentieth Century Fox Home Entertainment","http://www.rottentomatoes.com/m/walk_in_the_clouds/"
"The Crew","Feature Film","Michael Dinner",5.6,88,"2000",3809,"2000-08-21","http://www.imdb.com/title/tt0198386/","0198386","The Crew",2000,"Comedy","PG-13","87","Rotten",20,"Spilled",37,"Burt Reynolds","Richard Dreyfuss","Dan Hedaya","Seymour Cassel","Carrie-Anne Moss","Michael Dinner","Touchstone Pictures","http://www.rottentomatoes.com/m/1099659-crew/"
"I Spy","Feature Film","Betty Thomas",5.4,97,"2002",40173,"2002-10-23","http://www.imdb.com/title/tt0297181/","0297181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"House of 9","Feature Film","Steven R. Monroe",5.6,86,"2005",7124,"2005-06-19","http://www.imdb.com/title/tt0395585/","0395585","House of 9",2005,"Mystery & Suspense","R","86",NA,-1,"Spilled",36,"Dennis Hopper","Kelly Brook","Susie Amy","Hippolyte Girardot","Morven Christie","Steven R. Munroe","Bauer Martinez Studios","http://www.rottentomatoes.com/m/house_of_9/"
"Sex and the City","Feature Film","Michael Patrick King",5.5,145,"2008",95123,"2008-05-12","http://www.imdb.com/title/tt1000774/","1000774","Sex and the City",2008,"Comedy","R","142","Rotten",49,"Upright",77,"Sarah Jessica Parker","Kim Cattrall","Cynthia Nixon","Kristin Davis","Chris Noth","Michael Patrick King","Warner Bros. Pictures","http://www.rottentomatoes.com/m/sex_and_the_city/"
"The Life and Death of Peter Sellers","Feature Film","Stephen Hopkins",7,122,"2004",12670,"2004-05-21","http://www.imdb.com/title/tt0352520/","0352520","The Life and Death of Peter Sellers",2004,"Drama","Unrated","129","Fresh",76,"Upright",72,"Geoffrey Rush","Charlize Theron","Emily Watson","John Lithgow","Miriam Margolyes","Stephen Hopkins","Home Box Office","http://www.rottentomatoes.com/m/1142298-life_and_death_of_peter_sellers/"
"Dr. Giggles","Feature Film","Manny Coto",5,95,"1992",4120,"1992-10-23","http://www.imdb.com/title/tt0104139/","0104139","Dr. Giggles",1992,"Horror","R","96","Rotten",27,"Spilled",42,"Larry Drake","Holly Marie Combs","Cliff De Young","Glenn Quinn","Keith Diamond","Manny Coto","MCA Universal Home Video","http://www.rottentomatoes.com/m/dr_giggles/"
"Twelfth Night or What You Will","Feature Film","Trevor Nunn",7.3,134,"1996",4720,"1996-09-06","http://www.imdb.com/title/tt0117991/","0117991","Twelfth Night",1998,"Drama","PG","134","Fresh",74,"Upright",80,"Helena Bonham Carter","Richard E. Grant","Nigel Hawthorne","Ben Kingsley","Mel Smith","Trevor Nunn","New Line Home Entertainment","http://www.rottentomatoes.com/m/twelfth_night_1998/"
"Sally Hemings: An American Scandal","TV Movie","Charles Haid",7.1,251,"2000",365,"2000-02-13","http://www.imdb.com/title/tt0206951/","0206951","Sally Hemings: An American Scandal",2000,"Drama","Unrated","173",NA,-1,"Upright",73,"Carmen Ejogo","Diahann Carroll","Mare Winningham","Mario Van Peebles","Rene Auberjonois","Charles Haid",NA,"http://www.rottentomatoes.com/m/sally_hemings_an_american_scandal/"
"Silent Night","Feature Film","Steven C. Miller",5.2,94,"2012",5131,"2012-11-30","http://www.imdb.com/title/tt2347497/","2347497","Silent Night",2012,"Drama","R","94","Fresh",64,"Spilled",34,"Malcolm McDowell","Jaime King","Donal Logue","Brendan Fehr","Lisa Marie","Steven C. Miller","Anchor Bay Films","http://www.rottentomatoes.com/m/silent_night_2010/"
"The Tragedy of Coriolanus","TV Movie","Elijah Moshinsky",7.5,145,"1984",77,"1984-04-21","http://www.imdb.com/title/tt0086467/","0086467","Coriolanus",1984,"Drama","Unrated","142",NA,-1,"Upright",75,"Alan Howard","Anthony Pedley","Irene Worth","Joss Ackland","Leon Lissek","Elijah Moshinsky",NA,"http://www.rottentomatoes.com/m/coriolanus/"
"Rise of the Footsoldier","Feature Film","Julian Gilbey",6.9,119,"2007",15387,"2007-09-07","http://www.imdb.com/title/tt0901507/","0901507","Rise of the Footsoldier",2007,"Action & Adventure","R","119","Rotten",14,"Upright",84,"Ricci Harnett","Craig Fairbrass","Terry Stone","Roland Manookian","Coralie Rose","Julian Gilbey","Carnaby International","http://www.rottentomatoes.com/m/rise-of-the-footsoldier/"
"Ninja","Feature Film","Isaac Florentine",5.5,86,"2009",8907,"2009-10-22","http://www.imdb.com/title/tt1182921/","1182921","Ninja",2009,"Action & Adventure","R","92",NA,-1,"Spilled",29,"Mika Hijii","Scott Adkins","Todd Jensen","Garick Hagon","Togo Igawa","Isaac Florentine","Fighter Productions","http://www.rottentomatoes.com/m/ninja/"
"Father of the Bride Part II","Feature Film","Charles Shyer",5.9,106,"1995",25193,"1995-12-08","http://www.imdb.com/title/tt0113041/","0113041","Father of the Bride: Part II",1995,"Comedy","PG","106","Rotten",48,"Upright",60,"Steve Martin","Diane Keaton","Martin Short","Kimberly Williams-Paisley","George Newbern","Charles Shyer","Disney","http://www.rottentomatoes.com/m/father_of_the_bride_part_ii/"
"Surrogates","Feature Film","Jonathan Mostow",6.3,89,"2009",146449,"2009-09-24","http://www.imdb.com/title/tt0986263/","0986263","Surrogates",2009,"Action & Adventure","PG-13","89","Rotten",39,"Spilled",38,"Bruce Willis","Radha Mitchell","Rosamund Pike","Boris Kodjoe","James Ginty","Jonathan Mostow","Touchstone Pictures","http://www.rottentomatoes.com/m/10009598-surrogates/"
"Encino Man","Feature Film","Les Mayfield",5.6,88,"1992",28378,"1992-05-22","http://www.imdb.com/title/tt0104187/","0104187","Encino Man",1992,"Science Fiction & Fantasy","PG","88","Rotten",16,"Spilled",56,"Sean Astin","Brendan Fraser","Pauly Shore","Megan Ward","Robin Tunney","Les Mayfield","Hollywood Pictures","http://www.rottentomatoes.com/m/encino_man/"
"Son of a Gun","Feature Film","Julius Avery",6.5,108,"2014",15227,"2014-10-16","http://www.imdb.com/title/tt2452200/","2452200","Son of a Gun",2015,"Drama","R","108","Fresh",63,"Upright",66,"Brenton Thwaites","Ewan McGregor","Alicia Vikander","Damon Herriman","Matt Nable","Julius Avery","A24","http://www.rottentomatoes.com/m/son_of_a_gun_2015/"
"Ice Age: Dawn of the Dinosaurs","Feature Film","Carlos Saldanha, Mike Thurmeier",7,94,"2009",151293,"2009-07-01","http://www.imdb.com/title/tt1080016/","1080016","Ice Age: Dawn of the Dinosaurs (Ice Age 3)",2009,"Action & Adventure","PG","94","Rotten",45,"Upright",63,"Ray Romano","John Leguizamo","Denis Leary","Simon Pegg","Queen Latifah","Carlos Saldanha","20th Century Fox/Emerging Pictures","http://www.rottentomatoes.com/m/1194515-ice_age_dawn_of_the_dinosaurs/"
"Paranormal Activity 4","Feature Film","Henry Joost, Ariel Schulman",4.6,88,"2012",47993,"2012-10-16","http://www.imdb.com/title/tt2109184/","2109184","Paranormal Activity 4",2012,"Horror","R","90","Rotten",24,"Spilled",35,"Katie Featherston","Kathryn Newton","Mattt Shively","Stephen Dunham","Brady Allen","Ariel Schulman","Paramount Pictures","http://www.rottentomatoes.com/m/paranormal_activity_4_2012/"
"The Craft","Feature Film","Andrew Fleming",6.2,101,"1996",53619,"1996-05-03","http://www.imdb.com/title/tt0115963/","0115963","The Craft",1996,"Drama","R","101","Rotten",50,"Upright",65,"Robin Tunney","Fairuza Balk","Neve Campbell","Rachel True","Skeet Ulrich","Andrew Fleming","Sony Pictures Home Entertainment","http://www.rottentomatoes.com/m/craft/"
"Walt Disney's Wonderful World of Color: Polly","TV Episode","Debbie Allen",8,100,"1954",477,"1989-11-12","http://www.imdb.com/title/tt0098106/","0098106","Polly",1989,"Television","Unrated","97",NA,-1,"Upright",95,"Keshia Knight Pulliam","Phylicia Rashad","Ken Page","Larry Riley","Dorian Harewood","Debbie Allen","Walt Disney Productions","http://www.rottentomatoes.com/m/polly/"
"To Wong Foo Thanks for Everything, Julie Newmar","Feature Film","Beeban Kidron",6.3,109,"1995",19966,"1995-09-08","http://www.imdb.com/title/tt0114682/","0114682","To Wong Foo, Thanks for Everything! Julie Newmar",1995,"Comedy","PG-13","109","Rotten",41,"Upright",71,"Wesley Snipes","Patrick Swayze","John Leguizamo","Stockard Channing","Blythe Danner","Beeban Kidron","Universal Pictures","http://www.rottentomatoes.com/m/to_wong_foo_thanks_for_everything_julie_newmar/"
"Mr. Wrong","Feature Film","Nick Castle",3.7,96,"1996",4223,"1996-02-16","http://www.imdb.com/title/tt0117102/","0117102","Mr. Wrong",1996,"Comedy","PG-13","96","Rotten",4,"Spilled",25,"Ellen DeGeneres","Bill Pullman","Joan Cusack","Dean Stockwell","Joan Plowright","Nick Castle Jr.","Mandeville Films","http://www.rottentomatoes.com/m/mr_wrong/"
"A Nightmare on Elm Street","Feature Film","Wes Craven",7.5,91,"1984",138431,"1984-10","http://www.imdb.com/title/tt0087800/","0087800","A Nightmare on Elm Street",1984,"Mystery & Suspense","R","91","Certified Fresh",94,"Upright",83,"Robert Englund","Heather Langenkamp","John Saxon","Ronee Blakely","Amanda Wyss","Wes Craven","New Line Cinema","http://www.rottentomatoes.com/m/nightmare_on_elm_street/"
"Tales from the Hood","Feature Film","Rusty Cundieff",6.1,98,"1995",4340,"1995-05-24","http://www.imdb.com/title/tt0114609/","0114609","Tales From the Hood",1995,"Horror","R","97","Rotten",38,"Upright",68,"Clarence Williams III","Joe Torry","Wings Hauser","Anthony Griffith","Michael Massee","Rusty Cundieff","HBO Video","http://www.rottentomatoes.com/m/tales_from_the_hood/"
"Short Cuts","Feature Film","Robert Altman",7.7,187,"1993",33712,"1993-09-05","http://www.imdb.com/title/tt0108122/","0108122","Short Cuts",1993,"Drama","R","184","Certified Fresh",94,"Upright",89,"Tim Robbins","Jennifer Jason Leigh","Andie MacDowell","Madeline Stowe","Bruce Davison","Robert Altman","Fine Line Features","http://www.rottentomatoes.com/m/short_cuts/"
"Gifted Hands: The Ben Carson Story","TV Movie","Thomas Carter",7.8,86,"2009",5354,"2009-02-07","http://www.imdb.com/title/tt1295085/","1295085","Gifted Hands: The Ben Carson Story",2009,"Drama","PG","90",NA,-1,"Upright",85,"Cuba Gooding Jr.","Kimberly Elise","Aunjanue Ellis","Jaishon Fisher","Gus Hoffman","Thomas Carter","Sony Pictures","http://www.rottentomatoes.com/m/gifted_hands_the_ben_carson_story/"
"Comic Relief: Doctor Who - The Curse of Fatal Death","Short Film","John Henderson",8,23,"1999",1156,"1999-03-12","http://www.imdb.com/title/tt0212887/","0212887","Comic Relief: Doctor Who and the Curse of Fatal Death",1999,"Science Fiction & Fantasy","Unrated","62",NA,-1,"Upright",82,"Rowan Atkinson","Richard E. Grant","Jim Broadbent","Hugh Grant","Joanna Lumley","John Henderson",NA,"http://www.rottentomatoes.com/m/doctor_who_the_curse_of_fatal_death/"
"From Beyond the Grave","Feature Film","Kevin Connor",6.8,97,"1974",2154,"1974-02-21","http://www.imdb.com/title/tt0070078/","0070078","From Beyond the Grave",1973,"Science Fiction & Fantasy","PG","98",NA,-1,"Upright",65,"Wendy Allnutt","Tommy Godfrey","Ben Howard","Marcel Steiner","Ian Bannen","Kevin Connor","WARNER BROTHERS PICTURES","http://www.rottentomatoes.com/m/from_beyond_the_grave/"
"Going in Style","Feature Film","Martin Brest",7.2,97,"1979",1783,"1979-12-25","http://www.imdb.com/title/tt0079219/","0079219","Going in Style",2016,"Drama","PG","90","Fresh",89,"Upright",87,"George Burns","Art Carney","Lee Strasberg","Charles Hallahan","Pamela Payton-Wright","Zach Braff","Warner Bros. Pictures","http://www.rottentomatoes.com/m/going_in_style/"
"The Room","Feature Film","Tommy Wiseau",3.5,99,"2003",26404,"2003-06-27","http://www.imdb.com/title/tt0368226/","0368226","The Room",2003,"Drama","R","84","Rotten",35,"Spilled",46,"Tommy Wiseau","Juliette Danielle","Greg Sestero","Philip Haldiman","Carolyn Minnott","Tommy Wiseau","Chloe Productions","http://www.rottentomatoes.com/m/the_room_1998/"
"The Wedding Singer","Feature Film","Frank Coraci",6.8,95,"1998",104450,"1998-02-13","http://www.imdb.com/title/tt0120888/","0120888","The Wedding Singer",1998,"Drama","PG-13","96","Fresh",67,"Upright",80,"Adam Sandler","Drew Barrymore","Christine Taylor","Allen Covert","Matthew Glave","Frank Coraci","New Line Cinema","http://www.rottentomatoes.com/m/wedding_singer/"
"Long Day's Journey Into Night","TV Movie","Jonathan Miller",7.2,170,"1987",172,"1987-04-13","http://www.imdb.com/title/tt0093432/","0093432","Long Day's Journey into Night",1987,"Drama","Unrated","169",NA,-1,"Upright",79,"Jack Lemmon","Bethel Leslie","Peter Gallagher","Kevin Spacey","Jodie Lynne McClintock","Jonathan Miller","The Miles Company","http://www.rottentomatoes.com/m/long_days_journey_into_night_1987/"
"The Hunt for Red October","Feature Film","John McTiernan",7.6,135,"1990",135759,"1990-03-02","http://www.imdb.com/title/tt0099810/","0099810","The Hunt for Red October",1990,"Mystery & Suspense","PG","135","Certified Fresh",86,"Upright",88,"Sean Connery","Alec Baldwin","Scott Glenn","Sam Neill","James Earl Jones","Jonathan Zurer","Paramount Pictures","http://www.rottentomatoes.com/m/hunt_for_red_october/"
"I'll Be Home for Christmas","Feature Film","Arlene Sanford",5.3,86,"1998",6119,"1998-11-13","http://www.imdb.com/title/tt0155753/","0155753","I'll Be Home for Christmas",1998,"Comedy","PG","85","Rotten",23,"Spilled",41,"Jonathan Taylor Thomas","Jessica Biel","Adam LaVorgna","Gary Cole","Eve Gordon","Arlene Sanford","Buena Vista Pictures","http://www.rottentomatoes.com/m/1088110-ill_be_home_for_christmas/"
"Wishmaster","Feature Film","Robert Kurtzman",5.8,90,"1997",14755,"1997-09-19","http://www.imdb.com/title/tt0120524/","0120524","Wishmaster",1997,"Drama","R","90","Rotten",21,"Spilled",38,"Tammy Lauren","Andrew Divoff","Tony Todd","Kane Hodder","Robert Englund","Robert Kurtzman","Live Home Video","http://www.rottentomatoes.com/m/wishmaster/"
"The Secret Life of Us","TV Movie","Lynn-Maree Danzey",8.5,NA,"2001",235,"2001-07-03","http://www.imdb.com/title/tt0266949/","0266949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Police Academy 4: Citizens on Patrol","Feature Film","Jim Drake",4.7,88,"1987",29402,"1987-04-03","http://www.imdb.com/title/tt0093756/","0093756","Police Academy 4 - Citizens on Patrol",1987,"Comedy","PG","87","Rotten",0,"Spilled",37,"Steve Guttenberg","Bubba Smith","Michael Winslow","G.W. Bailey","David Graf","Jim Drake (II)","Warner Home Video","http://www.rottentomatoes.com/m/police_academy_4_citizens_on_patrol/"
"Romulus, My Father","Feature Film","Richard Roxburgh",6.7,104,"2007",3631,"2007-05-20","http://www.imdb.com/title/tt0462023/","0462023","Romulus, My Father",2008,"Drama","R","103","Rotten",55,"Upright",66,"Eric Bana","Franka Potente","Kodi Smit-McPhee","Marton Csokas","Russell Dykstra","Richard Roxburgh","Magnolia Pictures","http://www.rottentomatoes.com/m/romulus_my_father/"
"The Conversation","Feature Film","Francis Ford Coppola",7.9,113,"1974",70195,"1974-04-07","http://www.imdb.com/title/tt0071360/","0071360","The Conversation",1974,"Mystery & Suspense","PG","113","Certified Fresh",98,"Upright",90,"Gene Hackman","John Cazale","Allen Garfield","Frederic Forrest","Cindy Williams","Francis Ford Coppola","Paramount Pictures","http://www.rottentomatoes.com/m/conversation/"
"The Clan of the Cave Bear","Feature Film","Michael Chapman",5.3,98,"1986",4826,"1986-01-17","http://www.imdb.com/title/tt0090848/","0090848","The Clan of the Cave Bear",1986,"Drama","R","100","Rotten",10,"Spilled",47,"Daryl Hannah","Pamela Reed","James Remar","Thomas G. Waites","John Doolittle","Michael Chapman","Warner Bros. Pictures","http://www.rottentomatoes.com/m/clan_of_the_cave_bear/"
"North Shore","Feature Film","William Phelps",6.4,96,"1987",1728,"1987-08-14","http://www.imdb.com/title/tt0093648/","0093648","North Shore",1987,"Drama","PG","96",NA,-1,"Upright",84,"Matt Adler","Nia Peeples","Gregory Harrison","John Philbin","Gerry Lopez","William Phelps","MCA Universal Home Video","http://www.rottentomatoes.com/m/north_shore/"
"The Original Kings of Comedy","Documentary","Spike Lee",6.6,115,"2000",4615,"2000-08-10","http://www.imdb.com/title/tt0236388/","0236388","The Original Kings of Comedy",2000,"Documentary","R","111","Certified Fresh",86,"Upright",79,"Steve Harvey","D.L. Hughley","Cedric the Entertainer","Bernie Mac",NA,"Spike Lee","Paramount Pictures","http://www.rottentomatoes.com/m/original_kings_of_comedy/"
"CQ","Feature Film","Roman Coppola",6.3,88,"2001",4089,"2001-05-12","http://www.imdb.com/title/tt0254199/","0254199","CQ",2002,"Drama","R","91","Fresh",67,"Upright",70,"Jeremy Davies","Angela Lindvall","Elodie Bouchez","Gerard Depardieu","Massimo Ghini","Roman Coppola","United Artists Pictures/MGM","http://www.rottentomatoes.com/m/cq/"
"The Boys from Brazil","Feature Film","Franklin J. Schaffner",7,125,"1978",19698,"1978-10-05","http://www.imdb.com/title/tt0077269/","0077269","The Boys from Brazil",1978,"Drama","R","130","Fresh",70,"Upright",66,"Gregory Peck","Laurence Olivier","James Mason","Lilli Palmer","Uta Hagen","Franklin J. Schaffner","20th Century Fox Film Corporation","http://www.rottentomatoes.com/m/1002993-boys_from_brazil/"
"Day One","TV Movie","Joseph Sargent",7.7,141,"1989",311,"1989-03-05","http://www.imdb.com/title/tt0097159/","0097159","Day One",1989,"Drama","Unrated","141",NA,-1,"Upright",63,"Brian Dennehy","David Strathairn","Michael Tucker (I)","Hume Cronyn","Richard Dysart","Joseph Sargent","Worldvision Home Video","http://www.rottentomatoes.com/m/day_one/"
"Charlie's Angels: Full Throttle","Feature Film","McG",4.8,106,"2003",96769,"2003-06-18","http://www.imdb.com/title/tt0305357/","0305357","Charlie's Angels - Full Throttle",2003,"Action & Adventure","PG-13","105","Rotten",43,"Spilled",40,"Cameron Diaz","Drew Barrymore","Lucy Liu","Bernie Mac","Crispin Glover","Bernie Mac","Columbia Pictures","http://www.rottentomatoes.com/m/charlies_angels_full_throttle/"
"Carrie","TV Movie","David Carson",5.5,132,"2002",7493,"2002-11-04","http://www.imdb.com/title/tt0319970/","0319970","Carrie",2002,"Horror","Unrated","132",NA,-1,"Spilled",49,"Angela Bettis","Patricia Clarkson","Kandyse McClure","Emilie De Ravin","David Keith","David Carson","MGM Home Entertainment","http://www.rottentomatoes.com/m/1123000-carrie/"
"Beavis and Butt-Head Do America","Feature Film","Mike Judge, Mike DeSeve",6.8,81,"1996",40915,"1996-12-15","http://www.imdb.com/title/tt0115641/","0115641","Beavis and Butt-head Do America",1996,"Comedy","PG-13","80","Fresh",72,"Upright",70,"Mike Judge","Robert Stack","Cloris Leachman","Eric Bogosian","Sam Johnson","Mike Judge","Paramount Home Video","http://www.rottentomatoes.com/m/beavis_and_butt_head_do_america/"
"City Slickers","Feature Film","Ron Underwood",6.7,113,"1991",37497,"1991-06-07","http://www.imdb.com/title/tt0101587/","0101587","City Slickers",1991,"Western","PG-13","114","Fresh",90,"Upright",64,"Billy Crystal","Daniel Stern","Bruno Kirby","Jack Palance","Patricia Wettig","Ron Underwood","Columbia Pictures","http://www.rottentomatoes.com/m/city_slickers/"
"The Satanic Rites of Dracula","Feature Film","Alan Gibson",5.5,87,"1973",3611,"1973-11-03","http://www.imdb.com/title/tt0070634/","0070634","Count Dracula & His Vampire Bride",1978,"Art House & International","R","87",NA,-1,"Spilled",41,"Christopher Lee","Peter Cushing","Michael Coles","William Franklyn","Freddie Jones","Alan Gibson","Dynamite Entertainment","http://www.rottentomatoes.com/m/count-dracula-his-vampire-bride/"
"Coco Chanel","TV Movie","Christian Duguay",6.9,139,"2008",2847,"2008-09-13","http://www.imdb.com/title/tt1094661/","1094661","Coco Chanel",2008,"Drama","PG","180",NA,-1,"Upright",66,"Shirley MacLaine","Barbora Bobulova","Malcolm McDowell","Olivier Sitruk","Sagamore Stevenin","Christian Duguay","Screen Media Ventures","http://www.rottentomatoes.com/m/coco_chanel/"
"Splash","Feature Film","Ron Howard",6.2,111,"1984",51592,"1984-03-09","http://www.imdb.com/title/tt0088161/","0088161","Splash",1984,"Romance","PG","111","Fresh",92,"Spilled",58,"Tom Hanks","Daryl Hannah","John Candy","Eugene Levy","Dody Goodman","Ron Howard","Touchstone Pictures","http://www.rottentomatoes.com/m/1019641-splash/"
"Inferno","Feature Film","Dario Argento",6.7,107,"1980",11457,"1980-02-07","http://www.imdb.com/title/tt0080923/","0080923","Inferno",1980,"Mystery & Suspense","R","107","Fresh",64,"Upright",60,"Leigh McCloskey","Irene Miracle","Sacha Pitoeff","Daria Nicolodi","Eleonora Giorgi","Dario Argento","Anchor Bay Entertainment","http://www.rottentomatoes.com/m/inferno1980/"
"Mirrors","Feature Film","Alexandre Aja",6.2,110,"2008",81915,"2008-08-14","http://www.imdb.com/title/tt0790686/","0790686","Mirrors",2008,"Mystery & Suspense","R","110","Rotten",14,"Spilled",44,"Kiefer Sutherland","Paula Patton","Erica Gluck","Cameron Boyce","Ezra Buzzington","Alexandre Aja","Buena Vista","http://www.rottentomatoes.com/m/1197016-mirrors/"
