"title","title_type","directors","imdb_rating","runtime","year","num_votes","rel_date","url","id","title_rt","year_rt","genre_rt","mpaa_rating","runtime_rt","critics_rating","critics_score","audience_rating","audience_score","actor1","actor2","actor3","actor4","actor5","director_rt","studio","link"
"The Thaw","Feature Film","Mark A. Lewis",5.2,90,"2009",9175,"2009-08-30","http://www.imdb.com/title/tt1235448/","1235448","The Thaw",2009,"Horror","R","93",NA,-1,"Spilled",24,"Val Kilmer","Martha MacIsaac","Aaron Ashmore","Kyle Schmid","Anne Marie De Luise","Mark Lewis","Lionsgate","http://www.rottentomatoes.com/m/thaw/"
"Dragon Ball Z: The World's Strongest","Feature Film","Daisuke Nishio",7.1,59,"1990",3400,"1990-03-10","http://www.imdb.com/title/tt0142240/","0142240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Popeye","Feature Film","",NA,NA,"????",NA,"","http://www.imdb.com/title/tt1625335/","1625335","Popeye",2014,"Animation","Unrated","",NA,-1,"Upright",76,NA,NA,NA,NA,NA,"Genndy Tartakovsky","Sony Pictures","http://www.rottentomatoes.com/m/popeye_2014/"
"Red Corner","Feature Film","Jon Avnet",6.2,122,"1997",12491,"1997-10-31","http://www.imdb.com/title/tt0119994/","0119994","Red Corner",1997,"Drama","R","122","Rotten",32,"Spilled",48,"Richard Gere","Ling Bai","Bradley Whitford","Byron Mann","Peter Donat","Jon Avnet","MGM Home Entertainment","http://www.rottentomatoes.com/m/red_corner/"
"The Perils of Gwendoline in the Land of the Yik Yak","Feature Film","Just Jaeckin",5.2,105,"1984",1870,"1984-02-08","http://www.imdb.com/title/tt0087903/","0087903","Gwendoline",1984,"Action & Adventure","R","88",NA,-1,"Spilled",33,"Tawny Kitaen","Brent Huff","Zabou Breitman","Bernadette Lafont","Jean Rougerie","Just Jaeckin",NA,"http://www.rottentomatoes.com/m/gwendoline/"
"The Rugrats Movie","Feature Film","Igor Kovalyov, Norton Virgien",5.8,79,"1998",13093,"1998-11-08","http://www.imdb.com/title/tt0134067/","0134067","The Rugrats Movie",1998,"Television","G","87","Rotten",59,"Spilled",50,"Elizabeth Daily","E.G. Daily","Christine Cavanaugh","Melanie Chartoff","Cheryl Chase","Norton Virgien","Paramount Pictures","http://www.rottentomatoes.com/m/rugrats_movie/"
"Zulu Dawn","Feature Film","Douglas Hickox",6.6,117,"1979",4654,"1979-05-15","http://www.imdb.com/title/tt0080180/","0080180","Zulu Dawn",1979,"Drama","PG","117","Rotten",57,"Upright",63,"Burt Lancaster","Peter O'Toole","Simon Ward","John Mills","Nigel Davenport","Douglas Hickox","Tango Entertainment","http://www.rottentomatoes.com/m/zulu_dawn/"
"Great Expectations","TV Movie","Julian Jarrold",7.3,168,"1999",1413,"1999-04-12","http://www.imdb.com/title/tt0167187/","0167187","Great Expectations",1999,"Drama","Unrated","180",NA,-1,"Upright",72,"Ioan Gruffudd","Justine Waddell","Charlotte Rampling","Ian McDiarmid","Bernard Hill","Julian Jarrold",NA,"http://www.rottentomatoes.com/m/1087410-great_expectations/"
"RoboCop 3","Feature Film","Fred Dekker",3.9,104,"1993",32798,"1993-05-01","http://www.imdb.com/title/tt0107978/","0107978","RoboCop 3",1993,"Action & Adventure","PG-13","105","Rotten",3,"Spilled",14,"Robert John Burke","Nancy Allen","Rip Torn","John Castle","Jill Hennessy","Fred Dekker","MGM","http://www.rottentomatoes.com/m/robocop_3/"
"Harry in Your Pocket","Feature Film","Bruce Geller",6.4,103,"1973",832,"1973-09-23","http://www.imdb.com/title/tt0070158/","0070158","Harry in Your Pocket",1973,"Drama","PG","102",NA,-1,NA,39,"James Coburn","Michael Sarrazin","Trish Van Devere","Walter Pidgeon","Michael C. Gwynne","Bruce Gellard","United Artists","http://www.rottentomatoes.com/m/harry-in-your-pocket/"
"Catch and Release","Feature Film","Susannah Grant",6,124,"2006",17910,"2006-10-20","http://www.imdb.com/title/tt0395495/","0395495","Catch and Release",2007,"Drama","PG-13","111","Rotten",21,"Spilled",55,"Jennifer Garner","Timothy Olyphant","Sam Jaeger","Kevin Smith","Juliette Lewis","Susannah Grant","Sony Pictures Entertainment","http://www.rottentomatoes.com/m/catch_and_release/"
